student_id,path,checkin_end,P_start,P_end,E_start,E_end,G_start,G_end,C_start,C_end
1,PEG,NaN,1206.45428258874,1216.45428258874,1217.45428258874,1227.45428258874,1228.45428258874,1238.45428258874,NaN,NaN
2,PEG,NaN,1216.45428258874,1226.45428258874,1227.45428258874,1237.45428258874,1238.45428258874,1248.45428258874,NaN,NaN
3,PE,NaN,1226.45428258874,1236.45428258874,1237.45428258874,1247.45428258874,NaN,NaN,NaN,NaN
4,PE,NaN,1242.3767516943,1252.3767516943,1253.3767516943,1263.3767516943,NaN,NaN,NaN,NaN
5,PE,NaN,1253.67233752469,1263.67233752469,1264.67233752469,1274.67233752469,NaN,NaN,NaN,NaN
6,PE,NaN,1263.67233752469,1273.67233752469,1274.67233752469,1284.67233752469,NaN,NaN,NaN,NaN
7,PE,NaN,1284.61426438202,1294.61426438202,1295.61426438202,1305.61426438202,NaN,NaN,NaN,NaN
8,PEC,NaN,1305.66224018424,1315.66224018424,1316.66224018424,1326.66224018424,NaN,NaN,1327.66224018424,1357.66224018424
9,PEG,NaN,1316.88374877317,1326.88374877317,1327.88374877317,1337.88374877317,1338.88374877317,1348.88374877317,NaN,NaN
10,PE,NaN,1326.88374877317,1336.88374877317,1337.88374877317,1347.88374877317,NaN,NaN,NaN,NaN
11,PE,NaN,1336.88374877317,1346.88374877317,1347.88374877317,1357.88374877317,NaN,NaN,NaN,NaN
12,PEG,NaN,1346.88374877317,1356.88374877317,1357.88374877317,1367.88374877317,1368.88374877317,1378.88374877317,NaN,NaN
13,PEG,NaN,1356.88374877317,1366.88374877317,1367.88374877317,1377.88374877317,1378.88374877317,1388.88374877317,NaN,NaN
14,PEC,NaN,1366.88374877317,1376.88374877317,1377.88374877317,1387.88374877317,NaN,NaN,1388.88374877317,1418.88374877317
15,PE,NaN,1386.63187772761,1396.63187772761,1397.63187772761,1407.63187772761,NaN,NaN,NaN,NaN
16,PE,NaN,1396.63187772761,1406.63187772761,1407.63187772761,1417.63187772761,NaN,NaN,NaN,NaN
17,PE,NaN,1423.49291429094,1433.49291429094,1434.49291429094,1444.49291429094,NaN,NaN,NaN,NaN
18,PE,NaN,1442.36182293316,1452.36182293316,1453.36182293316,1463.36182293316,NaN,NaN,NaN,NaN
19,PEC,NaN,1452.36182293316,1462.36182293316,1463.36182293316,1473.36182293316,NaN,NaN,1474.36182293316,1504.36182293316
20,PEC,NaN,1462.36182293316,1472.36182293316,1473.36182293316,1483.36182293316,NaN,NaN,1504.36182293316,1534.36182293316
21,PE,NaN,1472.36182293316,1482.36182293316,1483.36182293316,1493.36182293316,NaN,NaN,NaN,NaN
22,PEG,NaN,1485.4357120939,1495.4357120939,1496.4357120939,1506.4357120939,1507.4357120939,1517.4357120939,NaN,NaN
23,PEC,NaN,1516.87011558603,1526.87011558603,1527.87011558603,1537.87011558603,NaN,NaN,1538.87011558603,1568.87011558603
24,PEG,NaN,1526.87011558603,1536.87011558603,1537.87011558603,1547.87011558603,1548.87011558603,1558.87011558603,NaN,NaN
25,PEG,NaN,1536.87011558603,1546.87011558603,1547.87011558603,1557.87011558603,1558.87011558603,1568.87011558603,NaN,NaN
26,PEC,NaN,1546.87011558603,1556.87011558603,1557.87011558603,1567.87011558603,NaN,NaN,1568.87011558603,1598.87011558603
27,PE,NaN,1560.99720530653,1570.99720530653,1571.99720530653,1581.99720530653,NaN,NaN,NaN,NaN
28,PE,NaN,1578.38399180148,1588.38399180148,1589.38399180148,1599.38399180148,NaN,NaN,NaN,NaN
29,PEC,NaN,1592.38846366384,1602.38846366384,1603.38846366384,1613.38846366384,NaN,NaN,1614.38846366384,1644.38846366384
30,PE,NaN,1602.38846366384,1612.38846366384,1613.38846366384,1623.38846366384,NaN,NaN,NaN,NaN
31,PEC,NaN,1612.38846366384,1622.38846366384,1623.38846366384,1633.38846366384,NaN,NaN,1644.38846366384,1674.38846366384
32,PE,NaN,1622.38846366384,1632.38846366384,1633.38846366384,1643.38846366384,NaN,NaN,NaN,NaN
33,PE,NaN,1632.38846366384,1642.38846366384,1643.38846366384,1653.38846366384,NaN,NaN,NaN,NaN
34,PEG,NaN,1642.38846366384,1652.38846366384,1653.38846366384,1663.38846366384,1664.38846366384,1674.38846366384,NaN,NaN
35,PEC,NaN,1652.38846366384,1662.38846366384,1663.38846366384,1673.38846366384,NaN,NaN,1674.38846366384,1704.38846366384
36,PE,NaN,1662.38846366384,1672.38846366384,1673.38846366384,1683.38846366384,NaN,NaN,NaN,NaN
37,PEC,NaN,1672.38846366384,1682.38846366384,1683.38846366384,1693.38846366384,NaN,NaN,1704.38846366384,1734.38846366384
38,PE,NaN,1682.38846366384,1692.38846366384,1693.38846366384,1703.38846366384,NaN,NaN,NaN,NaN
39,PE,NaN,1692.38846366384,1702.38846366384,1703.38846366384,1713.38846366384,NaN,NaN,NaN,NaN
40,PEG,NaN,1702.38846366384,1712.38846366384,1713.38846366384,1723.38846366384,1724.38846366384,1734.38846366384,NaN,NaN
41,PEG,NaN,1712.38846366384,1722.38846366384,1723.38846366384,1733.38846366384,1734.38846366384,1744.38846366384,NaN,NaN
42,PE,NaN,1722.38846366384,1732.38846366384,1733.38846366384,1743.38846366384,NaN,NaN,NaN,NaN
43,PEG,NaN,1732.38846366384,1742.38846366384,1743.38846366384,1753.38846366384,1754.38846366384,1764.38846366384,NaN,NaN
44,PEG,NaN,1742.38846366384,1752.38846366384,1753.38846366384,1763.38846366384,1764.38846366384,1774.38846366384,NaN,NaN
45,PE,NaN,1752.38846366384,1762.38846366384,1763.38846366384,1773.38846366384,NaN,NaN,NaN,NaN
46,PEG,NaN,1762.38846366384,1772.38846366384,1773.38846366384,1783.38846366384,1784.38846366384,1794.38846366384,NaN,NaN
47,PE,NaN,1772.38846366384,1782.38846366384,1783.38846366384,1793.38846366384,NaN,NaN,NaN,NaN
48,PEG,NaN,1782.38846366384,1792.38846366384,1793.38846366384,1803.38846366384,1804.38846366384,1814.38846366384,NaN,NaN
49,PEC,NaN,1801.857591778,1811.857591778,1812.857591778,1822.857591778,NaN,NaN,1823.857591778,1853.857591778
50,PE,NaN,1811.857591778,1821.857591778,1822.857591778,1832.857591778,NaN,NaN,NaN,NaN
51,PEG,NaN,7212.94923107106,7222.94923107106,7223.94923107106,7233.94923107106,7234.94923107106,7244.94923107106,NaN,NaN
52,PE,NaN,7224.95584721307,7234.95584721307,7235.95584721307,7245.95584721307,NaN,NaN,NaN,NaN
53,PEG,NaN,7252.21529849336,7262.21529849336,7263.21529849336,7273.21529849336,7274.21529849336,7284.21529849336,NaN,NaN
54,PEGC,NaN,7262.21529849336,7272.21529849336,7273.21529849336,7283.21529849336,7284.21529849336,7294.21529849336,7295.21529849336,7325.21529849336
55,PE,NaN,7272.21529849336,7282.21529849336,7283.21529849336,7293.21529849336,NaN,NaN,NaN,NaN
56,PEGC,NaN,7282.21529849336,7292.21529849336,7293.21529849336,7303.21529849336,7304.21529849336,7314.21529849336,7325.21529849336,7355.21529849336
57,PEG,NaN,7292.21529849336,7302.21529849336,7303.21529849336,7313.21529849336,7314.21529849336,7324.21529849336,NaN,NaN
58,PEG,NaN,7302.21529849336,7312.21529849336,7313.21529849336,7323.21529849336,7324.21529849336,7334.21529849336,NaN,NaN
59,PEC,NaN,7312.21529849336,7322.21529849336,7323.21529849336,7333.21529849336,NaN,NaN,7355.21529849336,7385.21529849336
