student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7200.01,7200.01,7202.987,0,PEC
2,7200.831,7202.987,7205.134,2.156,PEGC
3,7201.85,7205.134,7209.46,3.284,PEGC
4,7202.546,7209.46,7213.609,6.914,PE
5,7204.982,7213.609,7217.978,8.627,PE
6,7205.136,7217.978,7222.518,12.842,PE
7,7206.179,7222.518,7227.432,16.338,PEC
8,7206.445,7227.432,7230.223,20.988,PE
9,7206.613,7230.223,7232.277,23.61,PEC
10,7206.624,7232.277,7234.568,25.652,PE
11,7208.145,7234.568,7237.718,26.423,PE
12,7210.075,7237.718,7239.775,27.643,PE
13,7212.526,7239.775,7244.024,27.249,PE
14,7215.854,7244.024,7247.181,28.17,PE
15,7216.511,7247.181,7250.682,30.669,PEG
16,7218.398,7250.682,7255.395,32.284,PEC
17,7221.241,7255.395,7258.739,34.154,PEC
18,7222.474,7258.739,7261.701,36.265,PEG
19,7222.897,7261.701,7263.914,38.803,PEG
20,7223.98,7263.914,7268.68,39.933,PE
21,7224.811,7268.68,7273.033,43.869,PE
22,7225.844,7273.033,7275.669,47.189,PEG
23,7226.953,7275.669,7279.782,48.717,PE
24,7227.157,7279.782,7282.423,52.625,PEGC
25,7228.762,7282.423,7286.51,53.66,PE
26,7231.527,7286.51,7288.552,54.983,PEG
27,7232.709,7288.552,7293.047,55.843,PEGC
28,7232.863,7293.047,7297.499,60.184,PE
29,7233.175,7297.499,7302.004,64.324,PEC
30,7235.738,7302.004,7306.266,66.266,PEGC
31,7236.475,7306.266,7310.663,69.792,PE
32,7238.353,7310.663,7313.838,72.31,PEC
33,7238.422,7313.838,7318.491,75.416,PEG
34,7238.513,7318.491,7323.052,79.978,PE
35,7240.751,7323.052,7326.802,82.3,PEC
36,7241.309,7326.802,7329.721,85.493,PE
37,7241.867,7329.721,7333.414,87.854,PEC
38,7241.961,7333.414,7337.547,91.453,PEGC
39,7242.092,7337.547,7340.75,95.455,PE
40,7243.694,7340.75,7343.313,97.057,PEGC
41,7245.037,7343.313,7346.949,98.276,PEC
42,7245.347,7346.949,7351.723,101.602,PEG
43,7245.885,7351.723,7355.411,105.838,PEG
44,7246.019,7355.411,7360.309,109.393,PEC
45,7246.192,7360.309,7363.007,114.116,PE
46,7247.632,7363.007,7365.968,115.375,PEG
47,7249.096,7365.968,7368.087,116.873,PEG
48,7250.271,7368.087,7370.308,117.816,PE
49,7251.101,7370.308,7372.767,119.206,PE
50,7254.028,7372.767,7376.718,118.739,PE
51,7254.421,7376.718,7379.709,122.297,PEC
52,7254.486,7379.709,7381.918,125.222,PEGC
53,7255.279,7381.918,7386.734,126.639,PEG
54,7255.623,7386.734,7389.666,131.11,PEGC
55,7256.16,7389.666,7394.304,133.506,PE
56,7257.076,7394.304,7397.256,137.228,PE
57,7258.841,7397.256,7401.615,138.416,PEC
58,7260.039,7401.615,7403.815,141.576,PEG
59,7260.069,7403.815,7406.999,143.746,PE
60,7261.55,7406.999,7411.278,145.449,PEG
61,7262.369,7411.278,7414.399,148.909,PEC
62,7263.076,7414.399,7417.699,151.324,PE
63,7263.605,7417.699,7420.183,154.094,PE
64,7263.618,7420.183,7425.102,156.565,PEC
65,7265.178,7425.102,7428.305,159.924,PEC
66,7266.174,7428.305,7431.071,162.131,PEGC
67,7267.803,7431.071,7435.594,163.268,PEGC
68,7268.069,7435.594,7440.575,167.526,PE
69,7268.237,7440.575,7443.83,172.338,PEG
70,7270.053,7443.83,7447.244,173.777,PE
71,7270.104,7447.244,7451.916,177.14,PE
72,7273.48,7451.916,7456.403,178.436,PEG
73,7273.615,7456.403,7460.065,182.788,PEG
74,7273.924,7460.065,7464.269,186.141,PEG
75,7274.276,7464.269,7468.674,189.993,PEC
76,7275.275,7468.674,7471.648,193.399,PEGC
77,7278.08,7471.648,7476.32,193.568,PEC
78,7278.24,7476.32,7480.97,198.08,PE
79,7279.108,7480.97,7484.49,201.862,PEG
80,7279.728,7484.49,7487.086,204.762,PEG
81,7279.96,7487.086,7490.912,207.126,PE
82,7279.974,7490.912,7494.089,210.938,PE
83,7280.596,7494.089,7498.455,213.493,PE
84,7282.39,7498.455,7501.876,216.066,PE
85,7284.276,7501.876,7505.243,217.601,PE
86,7284.425,7505.243,7507.439,220.818,PE
87,7284.676,7507.439,7510.375,222.763,PEG
88,7285.551,7510.375,7512.432,224.824,PEC
89,7287.212,7512.432,7515.687,225.219,PE
90,7287.862,7515.687,7519.65,227.825,PEG
91,7288.016,7519.65,7522.267,231.634,PEC
92,7288.396,7522.267,7524.756,233.872,PE
93,7290.006,7524.756,7528.842,234.75,PE
94,7290.393,7528.842,7533.787,238.449,PEG
95,7290.792,7533.787,7537.731,242.995,PE
96,7290.881,7537.731,7541.65,246.85,PE
97,7292.201,7541.65,7546.169,249.449,PE
98,7293.342,7546.169,7550.436,252.827,PE
99,7296.914,7550.436,7553.442,253.522,PEC
100,7299.73,7553.442,7557.815,253.712,PE
