student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,1223.272,1223.272,1226.423,0,PEG
2,1234.486,1234.486,1236.961,0,PEGC
3,1236.151,1236.961,1240.887,0.81,PE
4,1266.442,1266.442,1268.558,0,PEG
5,1266.643,1268.558,1270.758,1.915,PEGC
6,1270.686,1270.758,1274.375,0.072,PE
7,1273.002,1274.375,1279.13,1.373,PE
8,1303.353,1303.353,1305.853,0,PEC
9,1306.772,1306.772,1309.146,0,PE
10,1308.173,1309.146,1311.187,0.972,PEGC
11,1308.331,1311.187,1315.475,2.855,PEC
12,1311.758,1315.475,1319.643,3.717,PEGC
13,1317.953,1319.643,1324.206,1.69,PEG
14,1332.528,1332.528,1335.278,0,PEG
15,1368.535,1368.535,1372.38,0,PEGC
16,1373.689,1373.689,1375.835,0,PE
17,1388.391,1388.391,1390.73,0,PEGC
18,1407.315,1407.315,1410.36,0,PEC
19,1412.66,1412.66,1416.075,0,PE
20,1415.931,1416.075,1418.314,0.145,PEC
21,1445.963,1445.963,1450.009,0,PEC
22,1466.426,1466.426,1470.002,0,PE
23,1469.708,1470.002,1473.55,0.294,PE
24,1513.833,1513.833,1518.654,0,PEG
25,1526.952,1526.952,1529.347,0,PEG
26,1534.337,1534.337,1538.289,0,PEC
27,1545.077,1545.077,1549.619,0,PEG
28,1545.942,1549.619,1552.657,3.677,PE
29,1549.954,1552.657,1554.861,2.703,PEGC
30,1563.558,1563.558,1565.593,0,PEGC
31,1569.102,1569.102,1571.123,0,PE
32,1569.821,1571.123,1574,1.302,PE
33,1571.62,1574,1576.653,2.38,PE
34,1601.001,1601.001,1603.907,0,PEC
35,1622.508,1622.508,1626.295,0,PEC
36,1632.516,1632.516,1636.207,0,PEG
37,1632.728,1636.207,1638.861,3.479,PEGC
38,1634.856,1638.861,1642.032,4.005,PE
39,1649.431,1649.431,1652.446,0,PE
40,1654.649,1654.649,1658.886,0,PE
41,1656.384,1658.886,1661.993,2.502,PE
42,1686.125,1686.125,1689.394,0,PE
43,1698.913,1698.913,1702.628,0,PE
44,1715.946,1715.946,1719.71,0,PE
45,1716.936,1719.71,1721.796,2.775,PE
46,1726.504,1726.504,1728.777,0,PEG
47,1742.459,1742.459,1745.963,0,PE
48,1747.328,1747.328,1752.082,0,PE
49,1776.086,1776.086,1778.829,0,PEC
50,1798.793,1798.793,1802.752,0,PE
51,7202.357,7202.357,7204.553,0,PE
52,7248.348,7248.348,7250.397,0,PE
53,7251.672,7251.672,7255.232,0,PE
54,7289.303,7289.303,7293.261,0,PE
55,7291.966,7293.261,7296.443,1.295,PEGC
56,7296.305,7296.443,7299.585,0.138,PE
57,7296.705,7299.585,7302.694,2.88,PEG
58,7346.659,7346.659,7350.919,0,PE
59,7351.258,7351.258,7355.094,0,PEC
60,7352.047,7355.094,7357.811,3.047,PEG
61,7356.584,7357.811,7362.587,1.228,PE
62,7372.541,7372.541,7375.687,0,PE
63,7378.42,7378.42,7381.541,0,PE
64,7380.059,7381.541,7384.53,1.481,PEG
65,7383.554,7384.53,7389.241,0.976,PEGC
66,7391.72,7391.72,7395.118,0,PE
67,7401.142,7401.142,7404.666,0,PEGC
68,7415.653,7415.653,7420.038,0,PEG
69,7419.642,7420.038,7422.443,0.396,PE
70,7442.902,7442.902,7445.517,0,PEG
71,7456.853,7456.853,7459.424,0,PEC
72,7461.081,7461.081,7463.087,0,PEG
73,7469.259,7469.259,7473.832,0,PE
74,7478.88,7478.88,7480.91,0,PE
75,7481.021,7481.021,7483.047,0,PE
76,7486.277,7486.277,7490.798,0,PEC
77,7489.51,7490.798,7495.108,1.288,PE
78,7493.529,7495.108,7499.68,1.579,PEC
79,7518.796,7518.796,7523.596,0,PE
80,7538.887,7538.887,7540.933,0,PE
81,7562.295,7562.295,7564.865,0,PEG
82,7565.1,7565.1,7569.182,0,PEC
83,7567.117,7569.182,7574.114,2.065,PEG
84,7571.492,7574.114,7577.84,2.622,PE
85,7590.819,7590.819,7594.506,0,PEGC
86,7616.154,7616.154,7620.98,0,PE
87,7622.287,7622.287,7626.346,0,PEG
88,7633.204,7633.204,7636.197,0,PEG
89,7638.991,7638.991,7642.011,0,PE
90,7645.728,7645.728,7650.531,0,PEG
91,7660.494,7660.494,7663.416,0,PEG
92,7671.418,7671.418,7673.535,0,PE
93,7723.446,7723.446,7727.149,0,PEG
94,7723.933,7727.149,7731.102,3.216,PEG
95,7736.979,7736.979,7741.195,0,PEGC
96,7743.857,7743.857,7748.726,0,PE
97,7771.704,7771.704,7774.622,0,PE
98,7778.595,7778.595,7782.873,0,PEC
99,7783.717,7783.717,7786.561,0,PEGC
100,7792.207,7792.207,7796.912,0,PE
