student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,1211.337,1211.337,1215.272,0,PEC
2,1230.874,1230.874,1233.736,0,PE
3,1238.311,1238.311,1241.277,0,PEGC
4,1245.303,1245.303,1247.77,0,PE
5,1259.88,1259.88,1263.043,0,PE
6,1261.256,1263.043,1267.73,1.787,PE
7,1287.748,1287.748,1292.412,0,PEC
8,1297.724,1297.724,1300.905,0,PE
9,1299.962,1300.905,1304.931,0.943,PE
10,1316.613,1316.613,1319.37,0,PEG
11,1321.271,1321.271,1326.121,0,PE
12,1322.376,1326.121,1329.995,3.745,PEG
13,1325.786,1329.995,1332.615,4.209,PEGC
14,1332.872,1332.872,1335.201,0,PEGC
15,1332.948,1335.201,1338.898,2.253,PEG
16,1377.126,1377.126,1379.949,0,PEG
17,1384.498,1384.498,1386.711,0,PEGC
18,1404.236,1404.236,1406.712,0,PEG
19,1423.461,1423.461,1425.61,0,PEC
20,1426.816,1426.816,1430.859,0,PE
21,1427.037,1430.859,1435.204,3.822,PE
22,1433.711,1435.204,1439.626,1.493,PE
23,1439.876,1439.876,1442.671,0,PEC
24,1441.597,1442.671,1447.359,1.074,PE
25,1481.456,1481.456,1485.28,0,PE
26,1530.645,1530.645,1532.689,0,PE
27,1537.468,1537.468,1540.5,0,PEC
28,1537.52,1540.5,1544.101,2.98,PE
29,1549.046,1549.046,1552.929,0,PEC
30,1551.778,1552.929,1556.27,1.152,PE
31,1558.057,1558.057,1562.49,0,PE
32,1570.602,1570.602,1573.037,0,PE
33,1574.46,1574.46,1579.384,0,PEG
34,1583.912,1583.912,1588.413,0,PE
35,1584.004,1588.413,1591.433,4.41,PE
36,1602.939,1602.939,1606.788,0,PE
37,1604.574,1606.788,1609.699,2.214,PEG
38,1623.458,1623.458,1625.725,0,PEG
39,1635.123,1635.123,1638.688,0,PEG
40,1653.071,1653.071,1657.547,0,PEGC
41,1656.802,1657.547,1661.839,0.746,PEG
42,1679.986,1679.986,1684.829,0,PEC
43,1698.336,1698.336,1701.337,0,PEC
44,1700.619,1701.337,1704.506,0.719,PE
45,1731.07,1731.07,1733.522,0,PEGC
46,1732.815,1733.522,1736.523,0.707,PE
47,1758.885,1758.885,1762.546,0,PE
48,1774.619,1774.619,1778.27,0,PE
49,1779.267,1779.267,1781.748,0,PEG
50,1781.096,1781.748,1784.099,0.652,PE
51,7222.126,7222.126,7225.322,0,PEC
52,7238.401,7238.401,7242.896,0,PE
53,7247.578,7247.578,7250.133,0,PE
54,7266.582,7266.582,7270.085,0,PEC
55,7267.793,7270.085,7272.463,2.292,PE
56,7277.664,7277.664,7282.257,0,PE
57,7279.422,7282.257,7286.557,2.836,PEGC
58,7280.606,7286.557,7290.25,5.952,PEGC
59,7297.778,7297.778,7300.947,0,PEC
60,7302.943,7302.943,7306.414,0,PEG
61,7319.911,7319.911,7324.572,0,PEGC
62,7338.08,7338.08,7342.795,0,PE
63,7349.912,7349.912,7353.407,0,PEG
64,7352.172,7353.407,7356.995,1.235,PE
65,7363.635,7363.635,7368.364,0,PEG
66,7371.705,7371.705,7375.441,0,PE
67,7391.03,7391.03,7395.358,0,PE
68,7415.127,7415.127,7419.111,0,PE
69,7418.851,7419.111,7422.52,0.26,PEG
70,7432.708,7432.708,7435.367,0,PEC
71,7439.435,7439.435,7443.242,0,PEC
72,7446.8,7446.8,7449.353,0,PEG
73,7465.284,7465.284,7467.877,0,PEG
74,7477.697,7477.697,7482.283,0,PEGC
75,7488.214,7488.214,7490.591,0,PEC
76,7506.259,7506.259,7510.195,0,PEC
77,7508.113,7510.195,7513.507,2.083,PEGC
78,7529.631,7529.631,7533.469,0,PE
79,7543.689,7543.689,7547.902,0,PEGC
80,7554.578,7554.578,7557.488,0,PEG
81,7576.172,7576.172,7578.301,0,PE
82,7576.446,7578.301,7582.808,1.855,PE
83,7583.154,7583.154,7586.262,0,PEGC
84,7616.108,7616.108,7620.092,0,PEG
85,7631.55,7631.55,7636.237,0,PEC
86,7643.491,7643.491,7646.314,0,PEG
87,7648.33,7648.33,7653.324,0,PEGC
88,7651.332,7653.324,7657.827,1.992,PEC
89,7658.145,7658.145,7662.519,0,PEC
90,7663.84,7663.84,7667.81,0,PE
91,7663.991,7667.81,7671.441,3.818,PE
92,7668.922,7671.441,7674.601,2.518,PE
93,7713.934,7713.934,7718.401,0,PEC
94,7744.341,7744.341,7748.127,0,PEGC
95,7755.78,7755.78,7760.125,0,PEGC
96,7761.35,7761.35,7766.313,0,PEG
97,7772.31,7772.31,7776.675,0,PEC
98,7781.706,7781.706,7786.264,0,PE
99,7785.696,7786.264,7789.721,0.568,PEG
100,7799.157,7799.157,7803.778,0,PEG
