student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,1205.7,1205.7,1210.549,0,PE
2,1209.592,1210.549,1212.58,0.957,PE
3,1217.594,1217.594,1220.098,0,PEGC
4,1243.048,1243.048,1247.314,0,PEC
5,1281.324,1281.324,1285.826,0,PE
6,1285.465,1285.826,1289.643,0.361,PEC
7,1292.349,1292.349,1295.902,0,PEG
8,1309.246,1309.246,1314.075,0,PEG
9,1328.612,1328.612,1332.835,0,PE
10,1347.525,1347.525,1351.628,0,PE
11,1363.663,1363.663,1367.897,0,PE
12,1367.797,1367.897,1372.519,0.1,PEC
13,1368.802,1372.519,1377.411,3.717,PEG
14,1369.44,1377.411,1382.357,7.971,PE
15,1369.944,1382.357,1387.113,12.413,PEC
16,1371.953,1387.113,1389.963,15.159,PEC
17,1385.415,1389.963,1392.139,4.548,PE
18,1430.491,1430.491,1434.954,0,PE
19,1469.782,1469.782,1472.32,0,PEC
20,1499.197,1499.197,1501.301,0,PE
21,1515.152,1515.152,1519.466,0,PEG
22,1517.382,1519.466,1523.088,2.084,PEG
23,1518.909,1523.088,1526.082,4.179,PEG
24,1526.628,1526.628,1530.363,0,PEGC
25,1545.125,1545.125,1549.688,0,PE
26,1549.121,1549.688,1553.615,0.567,PE
27,1571.323,1571.323,1574.584,0,PEG
28,1579.249,1579.249,1582.887,0,PEC
29,1581.386,1582.887,1585.434,1.501,PE
30,1598.982,1598.982,1601.69,0,PEC
31,1600.726,1601.69,1604.307,0.964,PEG
32,1606.39,1606.39,1609.169,0,PE
33,1609.288,1609.288,1614.116,0,PE
34,1615.138,1615.138,1619.063,0,PE
35,1617.199,1619.063,1623.55,1.864,PE
36,1628.92,1628.92,1632.086,0,PE
37,1640.634,1640.634,1643.139,0,PEC
38,1648.06,1648.06,1652.281,0,PEG
39,1659.91,1659.91,1664.529,0,PEGC
40,1668.806,1668.806,1671.873,0,PE
41,1683.713,1683.713,1686.249,0,PEG
42,1684.93,1686.249,1691.239,1.319,PEG
43,1688.544,1691.239,1696.116,2.695,PEG
44,1690.402,1696.116,1698.584,5.714,PEC
45,1701.415,1701.415,1706.201,0,PEGC
46,1702.048,1706.201,1709.475,4.153,PEC
47,1723.899,1723.899,1726.568,0,PEGC
48,1742.94,1742.94,1745.35,0,PEC
49,1791.599,1791.599,1794.379,0,PEG
50,1792.72,1794.379,1798.013,1.659,PE
51,7208.853,7208.853,7211.1,0,PE
52,7220.578,7220.578,7224.372,0,PEGC
53,7226.028,7226.028,7228.116,0,PEG
54,7249.917,7249.917,7253.282,0,PEG
55,7254.73,7254.73,7257.728,0,PEC
56,7282.362,7282.362,7287.193,0,PEC
57,7312.565,7312.565,7315.474,0,PEG
58,7317.396,7317.396,7320.681,0,PEC
59,7343.606,7343.606,7347.589,0,PE
60,7380.491,7380.491,7383.634,0,PE
61,7384.495,7384.495,7386.903,0,PEC
62,7398.723,7398.723,7401.013,0,PE
63,7400.562,7401.013,7403.928,0.451,PE
64,7402.798,7403.928,7408.4,1.13,PEG
65,7415.139,7415.139,7419.021,0,PEC
66,7420.953,7420.953,7423.571,0,PE
67,7431.449,7431.449,7436.389,0,PE
68,7434.132,7436.389,7439.703,2.257,PE
69,7434.241,7439.703,7444.208,5.461,PE
70,7446.742,7446.742,7450.359,0,PEG
71,7451.077,7451.077,7453.153,0,PE
72,7455.729,7455.729,7457.75,0,PEG
73,7473.841,7473.841,7478.199,0,PE
74,7475.449,7478.199,7481.541,2.75,PE
75,7485.636,7485.636,7488.502,0,PEC
76,7490.972,7490.972,7495.561,0,PEG
77,7491.174,7495.561,7499.53,4.388,PE
78,7491.763,7499.53,7502.384,7.767,PEC
79,7516.236,7516.236,7520.17,0,PEC
80,7520.435,7520.435,7523.226,0,PE
81,7574.226,7574.226,7576.75,0,PE
82,7595.862,7595.862,7598.967,0,PEC
83,7600.499,7600.499,7604.112,0,PEG
84,7620.056,7620.056,7624.835,0,PE
85,7638.785,7638.785,7643.032,0,PE
86,7640.593,7643.032,7645.475,2.439,PEC
87,7668.309,7668.309,7670.318,0,PE
88,7689.804,7689.804,7692.185,0,PE
89,7693.854,7693.854,7698.605,0,PEC
90,7695.88,7698.605,7702.621,2.724,PE
91,7697.238,7702.621,7704.963,5.383,PEC
92,7721.981,7721.981,7726.862,0,PEG
93,7724.651,7726.862,7729.22,2.212,PEG
94,7741.485,7741.485,7744.962,0,PEG
95,7756.109,7756.109,7759.192,0,PEC
96,7758.032,7759.192,7762.602,1.161,PE
97,7758.876,7762.602,7764.779,3.726,PE
98,7785.811,7785.811,7788.801,0,PE
99,7798.901,7798.901,7801.695,0,PEGC
100,7799.014,7801.695,7804.432,2.681,PEG
