student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7200.251,7200.251,7202.62,0,PEC
2,7200.754,7202.62,7206.812,1.866,PEGC
3,7200.976,7206.812,7211.272,5.836,PEC
4,7201.162,7211.272,7215.303,10.11,PEG
5,7203.887,7215.303,7218.055,11.416,PE
6,7205.35,7218.055,7222.634,12.705,PEGC
7,7206.411,7222.634,7225.556,16.223,PEG
8,7208.854,7225.556,7230.136,16.702,PE
9,7209.841,7230.136,7235.119,20.295,PEGC
10,7210.508,7235.119,7238.385,24.611,PEG
11,7211.061,7238.385,7243.298,27.324,PE
12,7212.52,7243.298,7247.934,30.778,PEG
13,7214.385,7247.934,7251.211,33.549,PE
14,7214.586,7251.211,7256.004,36.625,PEC
15,7215.453,7256.004,7258.175,40.551,PE
16,7215.557,7258.175,7262.337,42.618,PEG
17,7218.049,7262.337,7265.468,44.288,PE
18,7218.133,7265.468,7267.855,47.334,PEGC
19,7218.365,7267.855,7270.727,49.49,PE
20,7218.455,7270.727,7274.842,52.273,PEC
21,7218.707,7274.842,7277.919,56.135,PE
22,7219.604,7277.919,7280.27,58.315,PEG
23,7219.968,7280.27,7282.632,60.302,PE
24,7221.013,7282.632,7286.676,61.619,PEC
25,7222.09,7286.676,7289.001,64.587,PE
26,7223.311,7289.001,7293.031,65.691,PEG
27,7223.933,7293.031,7296.366,69.098,PEG
28,7224.413,7296.366,7299.448,71.954,PEC
29,7225.033,7299.448,7301.915,74.415,PE
30,7226.282,7301.915,7305.309,75.633,PEG
31,7226.528,7305.309,7308.317,78.78,PEGC
32,7228.139,7308.317,7310.726,80.178,PE
33,7228.513,7310.726,7314.241,82.213,PE
34,7229.277,7314.241,7316.413,84.963,PE
35,7229.629,7316.413,7320.895,86.783,PE
36,7229.849,7320.895,7324.452,91.047,PEC
37,7231.842,7324.452,7327.051,92.61,PE
38,7232.056,7327.051,7330.986,94.995,PEGC
39,7232.278,7330.986,7333.029,98.707,PEGC
40,7232.547,7333.029,7336.475,100.481,PEGC
41,7232.688,7336.475,7339.512,103.787,PEG
42,7235.762,7339.512,7342.082,103.75,PE
43,7236.28,7342.082,7345.685,105.802,PE
44,7236.783,7345.685,7348.324,108.902,PEG
45,7239.616,7348.324,7350.395,108.709,PE
46,7241.401,7350.395,7353.179,108.994,PE
47,7242.869,7353.179,7357.755,110.31,PE
48,7244.03,7357.755,7360.55,113.725,PEG
49,7245.497,7360.55,7364.678,115.053,PE
50,7246.86,7364.678,7368.905,117.818,PE
51,7247.033,7368.905,7371.849,121.872,PE
52,7247.08,7371.849,7376.037,124.769,PE
53,7247.2,7376.037,7379.373,128.838,PE
54,7248.542,7379.373,7383.784,130.831,PEG
55,7251.041,7383.784,7387.833,132.743,PE
56,7251.715,7387.833,7391.314,136.119,PE
57,7252.456,7391.314,7394.063,138.858,PEG
58,7252.646,7394.063,7398.955,141.417,PEC
59,7252.748,7398.955,7402.276,146.207,PE
60,7253.522,7402.276,7405.508,148.754,PE
61,7254.476,7405.508,7408.446,151.031,PE
62,7254.482,7408.446,7411.53,153.964,PE
63,7255.146,7411.53,7415.091,156.384,PEG
64,7255.376,7415.091,7417.418,159.714,PE
65,7255.844,7417.418,7420.013,161.574,PEGC
66,7256.426,7420.013,7423.328,163.587,PE
67,7257.463,7423.328,7426.224,165.865,PE
68,7257.64,7426.224,7429.899,168.585,PE
69,7258.041,7429.899,7432.171,171.858,PE
70,7260.096,7432.171,7435.6,172.075,PEG
71,7263.255,7435.6,7437.86,172.346,PEG
72,7264.363,7437.86,7441.25,173.498,PEG
73,7264.488,7441.25,7444.948,176.762,PE
74,7266.965,7444.948,7448.024,177.983,PEC
75,7268.137,7448.024,7451.914,179.887,PE
76,7268.279,7451.914,7455.14,183.634,PEG
77,7268.699,7455.14,7459.084,186.441,PEGC
78,7269.208,7459.084,7462.943,189.875,PE
79,7269.39,7462.943,7467.65,193.553,PEG
80,7271.491,7467.65,7472.558,196.159,PE
81,7273.824,7472.558,7475.85,198.735,PEC
82,7275.574,7475.85,7480.774,200.276,PE
83,7275.768,7480.774,7484.332,205.006,PEC
84,7277.103,7484.332,7488.053,207.229,PE
85,7277.871,7488.053,7492.357,210.182,PEGC
86,7278.863,7492.357,7494.479,213.494,PEG
87,7280.571,7494.479,7496.642,213.908,PEG
88,7283.209,7496.642,7499.903,213.433,PEG
89,7285.67,7499.903,7502.806,214.233,PEG
90,7286.162,7502.806,7505.322,216.644,PE
91,7286.325,7505.322,7507.408,218.997,PE
92,7287.887,7507.408,7510.157,219.52,PE
93,7288.233,7510.157,7514.062,221.924,PEG
94,7289.8,7514.062,7516.352,224.262,PE
95,7292.042,7516.352,7520.571,224.309,PE
96,7294.839,7520.571,7523.308,225.732,PE
97,7295.487,7523.308,7527.295,227.82,PEC
98,7298.186,7527.295,7530.236,229.109,PEC
99,7298.426,7530.236,7532.984,231.81,PE
100,7299.14,7532.984,7535.661,233.844,PE
