student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7200.177,7200.177,7204.801,0,PE
2,7200.559,7204.801,7207.003,4.243,PEC
3,7201.796,7207.003,7211.415,5.207,PE
4,7202.048,7211.415,7214.427,9.367,PEG
5,7203.028,7214.427,7218.753,11.399,PEG
6,7205.204,7218.753,7220.939,13.549,PE
7,7205.503,7220.939,7224.665,15.436,PE
8,7208.654,7224.665,7228.318,16.011,PE
9,7209.374,7228.318,7232.716,18.943,PE
10,7210.367,7232.716,7235.851,22.349,PE
11,7212.583,7235.851,7239.454,23.268,PE
12,7213.718,7239.454,7244.304,25.736,PE
13,7214.533,7244.304,7246.668,29.771,PEC
14,7215.351,7246.668,7249.751,31.317,PE
15,7215.477,7249.751,7252.184,34.274,PE
16,7216.507,7252.184,7255.95,35.676,PEG
17,7221.301,7255.95,7259.588,34.649,PE
18,7221.73,7259.588,7262.596,37.858,PEC
19,7221.76,7262.596,7265.48,40.836,PE
20,7221.978,7265.48,7269.19,43.501,PEGC
21,7222.408,7269.19,7273.597,46.782,PE
22,7222.672,7273.597,7276.792,50.925,PEG
23,7222.803,7276.792,7280.858,53.989,PEG
24,7225.035,7280.858,7285.584,55.823,PEG
25,7226.896,7285.584,7287.925,58.688,PE
26,7227.187,7287.925,7290.268,60.738,PEG
27,7227.451,7290.268,7294.153,62.817,PE
28,7227.66,7294.153,7296.521,66.493,PEG
29,7227.705,7296.521,7300.609,68.816,PEC
30,7228.429,7300.609,7302.915,72.18,PEG
31,7228.794,7302.915,7306.39,74.121,PEGC
32,7229.446,7306.39,7309.62,76.943,PE
33,7229.808,7309.62,7314.323,79.813,PEC
34,7230.139,7314.323,7317.872,84.184,PEG
35,7232.335,7317.872,7321.888,85.537,PEC
36,7232.397,7321.888,7324.514,89.491,PEG
37,7233.233,7324.514,7328.108,91.281,PEG
38,7235.809,7328.108,7331.662,92.3,PEG
39,7235.829,7331.662,7335.322,95.833,PEC
40,7238.497,7335.322,7337.74,96.825,PEC
41,7238.923,7337.74,7342.388,98.817,PEG
42,7242.12,7342.388,7344.758,100.268,PE
43,7243.242,7344.758,7347.256,101.517,PE
44,7244.676,7347.256,7350.506,102.58,PEG
45,7247.247,7350.506,7354.001,103.259,PEG
46,7247.88,7354.001,7358.526,106.121,PE
47,7247.962,7358.526,7363.365,110.564,PEC
48,7248.241,7363.365,7367.647,115.124,PEG
49,7248.536,7367.647,7371.339,119.111,PEG
50,7249.848,7371.339,7375.038,121.491,PE
51,7250.17,7375.038,7378.499,124.867,PE
52,7250.371,7378.499,7381.632,128.128,PE
53,7250.789,7381.632,7383.876,130.842,PEC
54,7251.288,7383.876,7387.662,132.588,PE
55,7252.397,7387.662,7391.382,135.265,PE
56,7254.786,7391.382,7393.983,136.596,PE
57,7255.24,7393.983,7397.85,138.743,PE
58,7255.715,7397.85,7400.85,142.136,PEC
59,7255.841,7400.85,7403.859,145.009,PE
60,7256.527,7403.859,7407.04,147.332,PEG
61,7256.774,7407.04,7410.922,150.266,PEG
62,7257.406,7410.922,7414.247,153.517,PE
63,7259.596,7414.247,7416.84,154.65,PEGC
64,7259.831,7416.84,7419.599,157.009,PE
65,7259.843,7419.599,7423.971,159.756,PEG
66,7259.869,7423.971,7426.241,164.102,PE
67,7263.537,7426.241,7428.411,162.704,PEG
68,7263.996,7428.411,7431.467,164.414,PEG
69,7264.104,7431.467,7433.728,167.363,PEG
70,7264.152,7433.728,7437.261,169.576,PE
71,7265.439,7437.261,7441.731,171.822,PE
72,7267.665,7441.731,7444.401,174.065,PE
73,7268.939,7444.401,7448.196,175.462,PEG
74,7270.946,7448.196,7450.452,177.25,PE
75,7271.119,7450.452,7452.573,179.332,PEGC
76,7272.775,7452.573,7457.405,179.798,PE
77,7274.62,7457.405,7460.771,182.784,PE
78,7274.781,7460.771,7465.633,185.99,PEC
79,7275.55,7465.633,7470.064,190.083,PE
80,7277.373,7470.064,7473.467,192.69,PE
81,7279.89,7473.467,7477.956,193.577,PE
82,7283.98,7477.956,7480.616,193.976,PE
83,7284.998,7480.616,7485.438,195.618,PEG
84,7286.701,7485.438,7488.326,198.736,PEG
85,7289.708,7488.326,7493.086,198.618,PEC
86,7289.944,7493.086,7496.01,203.143,PEC
87,7291.255,7496.01,7500.272,204.755,PE
88,7292.556,7500.272,7503.311,207.716,PEG
89,7292.696,7503.311,7505.963,210.614,PEG
90,7293.227,7505.963,7507.971,212.737,PE
91,7293.824,7507.971,7512.97,214.147,PE
92,7294.878,7512.97,7516.218,218.092,PE
93,7297.675,7516.218,7520.171,218.543,PE
94,7297.696,7520.171,7524.368,222.475,PEGC
95,7298.58,7524.368,7528.591,225.788,PEG
96,7299.151,7528.591,7531.415,229.44,PE
97,7299.497,7531.415,7533.858,231.917,PE
98,7299.55,7533.858,7536.611,234.308,PE
99,7299.668,7536.611,7540.257,236.943,PE
100,7299.75,7540.257,7545.111,240.507,PEC
