student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7200.871,7200.871,7205.759,0,PE
2,7202.653,7205.759,7207.762,3.105,PE
3,7204.358,7207.762,7211.58,3.404,PEGC
4,7204.667,7211.58,7216.475,6.914,PEGC
5,7205.565,7216.475,7220.543,10.909,PE
6,7207.126,7220.543,7225.365,13.417,PE
7,7207.918,7225.365,7228.856,17.448,PEG
8,7208.788,7228.856,7232.667,20.068,PEG
9,7209.809,7232.667,7236.919,22.858,PEG
10,7210.008,7236.919,7240.389,26.91,PE
11,7210.575,7240.389,7242.476,29.814,PEGC
12,7210.619,7242.476,7244.672,31.858,PE
13,7211.074,7244.672,7249.336,33.598,PE
14,7213.031,7249.336,7252.416,36.306,PEC
15,7215.944,7252.416,7255.532,36.471,PEG
16,7217.743,7255.532,7257.906,37.789,PE
17,7217.941,7257.906,7262.181,39.964,PE
18,7218.197,7262.181,7264.663,43.984,PEC
19,7218.57,7264.663,7267.701,46.093,PE
20,7218.89,7267.701,7270.473,48.811,PEGC
21,7220.43,7270.473,7273.918,50.042,PEC
22,7221.482,7273.918,7277.849,52.437,PEC
23,7222.284,7277.849,7281.433,55.565,PEG
24,7224.377,7281.433,7286.227,57.057,PEC
25,7224.776,7286.227,7289.02,61.452,PE
26,7225.015,7289.02,7292.861,64.005,PE
27,7228.526,7292.861,7297.039,64.334,PEG
28,7234.541,7297.039,7299.661,62.497,PEG
29,7235.841,7299.661,7302.853,63.82,PEC
30,7236.35,7302.853,7307.322,66.502,PEC
31,7236.581,7307.322,7311.157,70.74,PE
32,7236.888,7311.157,7314.672,74.269,PE
33,7238.034,7314.672,7318.303,76.638,PE
34,7238.312,7318.303,7321.78,79.991,PEC
35,7239.238,7321.78,7326.301,82.542,PEG
36,7240.141,7326.301,7329.584,86.16,PEC
37,7241.059,7329.584,7333.358,88.525,PEG
38,7241.247,7333.358,7338.196,92.11,PEC
39,7241.748,7338.196,7341.163,96.448,PEG
40,7242.551,7341.163,7343.54,98.612,PEGC
41,7244.197,7343.54,7347.381,99.343,PE
42,7246.386,7347.381,7351.283,100.995,PEC
43,7246.89,7351.283,7354.457,104.393,PE
44,7248.318,7354.457,7357.014,106.139,PEC
45,7249.108,7357.014,7359.542,107.906,PE
46,7249.294,7359.542,7363.981,110.248,PE
47,7250.64,7363.981,7368.314,113.341,PEG
48,7250.841,7368.314,7372.132,117.472,PEGC
49,7253.289,7372.132,7375.062,118.843,PE
50,7254.144,7375.062,7378.907,120.918,PEC
51,7256.136,7378.907,7382.262,122.771,PE
52,7257.514,7382.262,7386.074,124.748,PEGC
53,7258.739,7386.074,7389.97,127.335,PE
54,7258.986,7389.97,7394.216,130.984,PEGC
55,7259.623,7394.216,7396.35,134.593,PE
56,7259.843,7396.35,7399.711,136.507,PEG
57,7260.468,7399.711,7404.587,139.243,PEG
58,7260.499,7404.587,7407.8,144.088,PEGC
59,7260.781,7407.8,7411.266,147.018,PEGC
60,7260.986,7411.266,7414.522,150.28,PE
61,7261.027,7414.522,7417.843,153.494,PEGC
62,7261.538,7417.843,7422.617,156.305,PEG
63,7261.999,7422.617,7425.541,160.619,PEG
64,7262.303,7425.541,7429.214,163.238,PEG
65,7266.766,7429.214,7431.449,162.448,PEGC
66,7266.839,7431.449,7436.299,164.609,PEG
67,7266.947,7436.299,7438.665,169.352,PEG
68,7268.791,7438.665,7441.794,169.874,PE
69,7270.547,7441.794,7446.557,171.247,PE
70,7271.03,7446.557,7451.373,175.527,PEGC
71,7271.14,7451.373,7455.513,180.234,PE
72,7271.731,7455.513,7458.973,183.782,PEC
73,7272.949,7458.973,7462.038,186.024,PEC
74,7272.985,7462.038,7466.809,189.054,PEC
75,7273.043,7466.809,7470.598,193.766,PEG
76,7274.369,7470.598,7473.463,196.229,PE
77,7277.676,7473.463,7477.248,195.787,PE
78,7278.488,7477.248,7480.931,198.76,PEG
79,7278.69,7480.931,7484.431,202.241,PE
80,7279.643,7484.431,7487.816,204.788,PE
81,7281.21,7487.816,7491.355,206.606,PEG
82,7281.356,7491.355,7494.764,209.999,PE
83,7282.04,7494.764,7498.453,212.724,PEGC
84,7282.992,7498.453,7502.439,215.461,PEG
85,7283.894,7502.439,7505.829,218.545,PEC
86,7285.602,7505.829,7508.943,220.226,PEGC
87,7285.78,7508.943,7511.452,223.163,PEC
88,7285.814,7511.452,7516.217,225.638,PEG
89,7286.476,7516.217,7518.812,229.741,PEG
90,7287.011,7518.812,7521.637,231.801,PE
91,7287.164,7521.637,7524.355,234.473,PE
92,7287.98,7524.355,7528.71,236.376,PEC
93,7289.375,7528.71,7532.398,239.334,PE
94,7292.49,7532.398,7537.26,239.908,PE
95,7293.328,7537.26,7540.375,243.933,PEG
96,7293.855,7540.375,7542.539,246.52,PEG
97,7295.306,7542.539,7546.415,247.233,PEG
98,7297.804,7546.415,7549.812,248.611,PEGC
99,7298.738,7549.812,7554.049,251.073,PE
100,7299.473,7554.049,7558.753,254.576,PEGC
