student_id,path,checkin_end,P_start,P_end,E_start,E_end,G_start,G_end,C_start,C_end
1,PEG,NaN,7209.02873291666,7219.02873291666,7220.02873291666,7230.02873291666,7231.02873291666,7241.02873291666,NaN,NaN
2,PE,NaN,7219.02873291666,7229.02873291666,7230.02873291666,7240.02873291666,NaN,NaN,NaN,NaN
3,PEG,NaN,7229.02873291666,7239.02873291666,7240.02873291666,7250.02873291666,7251.02873291666,7261.02873291666,NaN,NaN
4,PEC,NaN,7239.02873291666,7249.02873291666,7250.02873291666,7260.02873291666,NaN,NaN,7261.02873291666,7291.02873291666
5,PEG,NaN,7249.02873291666,7259.02873291666,7260.02873291666,7270.02873291666,7271.02873291666,7281.02873291666,NaN,NaN
6,PEC,NaN,7259.02873291666,7269.02873291666,7270.02873291666,7280.02873291666,NaN,NaN,7291.02873291666,7321.02873291666
7,PE,NaN,7269.02873291666,7279.02873291666,7280.02873291666,7290.02873291666,NaN,NaN,NaN,NaN
8,PEG,NaN,7279.02873291666,7289.02873291666,7290.02873291666,7300.02873291666,7301.02873291666,7311.02873291666,NaN,NaN
9,PEC,NaN,7289.02873291666,7299.02873291666,7300.02873291666,7310.02873291666,NaN,NaN,7321.02873291666,7351.02873291666
10,PE,NaN,7299.02873291666,7309.02873291666,7310.02873291666,7320.02873291666,NaN,NaN,NaN,NaN
11,PEC,NaN,7309.02873291666,7319.02873291666,7320.02873291666,7330.02873291666,NaN,NaN,7351.02873291666,7381.02873291666
12,PEG,NaN,7319.02873291666,7329.02873291666,7330.02873291666,7340.02873291666,7341.02873291666,7351.02873291666,NaN,NaN
13,PE,NaN,7329.02873291666,7339.02873291666,7340.02873291666,7350.02873291666,NaN,NaN,NaN,NaN
14,PEC,NaN,7339.02873291666,7349.02873291666,7350.02873291666,7360.02873291666,NaN,NaN,7381.02873291666,7411.02873291666
15,PE,NaN,7349.02873291666,7359.02873291666,7360.02873291666,7370.02873291666,NaN,NaN,NaN,NaN
16,PE,NaN,7359.02873291666,7369.02873291666,7370.02873291666,7380.02873291666,NaN,NaN,NaN,NaN
17,PEG,NaN,7369.02873291666,7379.02873291666,7380.02873291666,7390.02873291666,7391.02873291666,7401.02873291666,NaN,NaN
18,PE,NaN,7379.02873291666,7389.02873291666,7390.02873291666,7400.02873291666,NaN,NaN,NaN,NaN
19,PE,NaN,7389.02873291666,7399.02873291666,7400.02873291666,7410.02873291666,NaN,NaN,NaN,NaN
20,PE,NaN,7399.02873291666,7409.02873291666,7410.02873291666,7420.02873291666,NaN,NaN,NaN,NaN
21,PEC,NaN,7409.02873291666,7419.02873291666,7420.02873291666,7430.02873291666,NaN,NaN,7431.02873291666,7461.02873291666
22,PEG,NaN,7419.02873291666,7429.02873291666,7430.02873291666,7440.02873291666,7441.02873291666,7451.02873291666,NaN,NaN
23,PEG,NaN,7429.02873291666,7439.02873291666,7440.02873291666,7450.02873291666,7451.02873291666,7461.02873291666,NaN,NaN
24,PEG,NaN,7439.02873291666,7449.02873291666,7450.02873291666,7460.02873291666,7461.02873291666,7471.02873291666,NaN,NaN
25,PE,NaN,7449.02873291666,7459.02873291666,7460.02873291666,7470.02873291666,NaN,NaN,NaN,NaN
26,PEG,NaN,7459.02873291666,7469.02873291666,7470.02873291666,7480.02873291666,7481.02873291666,7491.02873291666,NaN,NaN
27,PEG,NaN,7469.02873291666,7479.02873291666,7480.02873291666,7490.02873291666,7491.02873291666,7501.02873291666,NaN,NaN
28,PEC,NaN,7479.02873291666,7489.02873291666,7490.02873291666,7500.02873291666,NaN,NaN,7501.02873291666,7531.02873291666
29,PEG,NaN,7489.02873291666,7499.02873291666,7500.02873291666,7510.02873291666,7511.02873291666,7521.02873291666,NaN,NaN
30,PEC,NaN,7499.02873291666,7509.02873291666,7510.02873291666,7520.02873291666,NaN,NaN,7531.02873291666,7561.02873291666
31,PE,NaN,7509.02873291666,7519.02873291666,7520.02873291666,7530.02873291666,NaN,NaN,NaN,NaN
32,PEC,NaN,7519.02873291666,7529.02873291666,7530.02873291666,7540.02873291666,NaN,NaN,7561.02873291666,7591.02873291666
33,PE,NaN,7529.02873291666,7539.02873291666,7540.02873291666,7550.02873291666,NaN,NaN,NaN,NaN
34,PEGC,NaN,7539.02873291666,7549.02873291666,7550.02873291666,7560.02873291666,7561.02873291666,7571.02873291666,7591.02873291666,7621.02873291666
35,PEGC,NaN,7549.02873291666,7559.02873291666,7560.02873291666,7570.02873291666,7571.02873291666,7581.02873291666,7621.02873291666,7651.02873291666
36,PE,NaN,7559.02873291666,7569.02873291666,7570.02873291666,7580.02873291666,NaN,NaN,NaN,NaN
37,PE,NaN,7569.02873291666,7579.02873291666,7580.02873291666,7590.02873291666,NaN,NaN,NaN,NaN
38,PEG,NaN,7579.02873291666,7589.02873291666,7590.02873291666,7600.02873291666,7601.02873291666,7611.02873291666,NaN,NaN
