student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,1202.924,1202.924,1207.108,0,PE
2,1204.123,1207.108,1210.736,2.986,PE
3,1224.904,1224.904,1228.796,0,PEGC
4,1237.786,1237.786,1240.593,0,PEGC
5,1251.327,1251.327,1255.103,0,PE
6,1282.48,1282.48,1287.079,0,PEG
7,1299.216,1299.216,1303.993,0,PEG
8,1299.806,1303.993,1308.846,4.187,PEG
9,1306.764,1308.846,1311.046,2.082,PEG
10,1309.464,1311.046,1315.885,1.582,PEC
11,1312.063,1315.885,1319.375,3.822,PE
12,1346.548,1346.548,1348.753,0,PE
13,1347.721,1348.753,1351.213,1.031,PE
14,1360.481,1360.481,1363.369,0,PE
15,1363.403,1363.403,1365.909,0,PEG
16,1380.127,1380.127,1384.332,0,PE
17,1421.259,1421.259,1425.898,0,PE
18,1461.27,1461.27,1465.825,0,PE
19,1462.047,1465.825,1469.841,3.778,PEG
20,1477.999,1477.999,1482.394,0,PEG
21,1499.242,1499.242,1501.544,0,PEG
22,1511.328,1511.328,1514.896,0,PEG
23,1524.351,1524.351,1526.527,0,PE
24,1531.045,1531.045,1535.486,0,PE
25,1556.918,1556.918,1559.955,0,PEGC
26,1558.634,1559.955,1564.441,1.321,PEC
27,1562.761,1564.441,1568.616,1.681,PEC
28,1564.3,1568.616,1571.628,4.317,PEC
29,1567.593,1571.628,1574.263,4.035,PE
30,1569.043,1574.263,1577.282,5.219,PE
31,1591.919,1591.919,1595.297,0,PE
32,1608.214,1608.214,1611.8,0,PE
33,1617.983,1617.983,1621.187,0,PEG
34,1625.22,1625.22,1629.475,0,PE
35,1628.102,1629.475,1631.556,1.373,PEG
36,1644.562,1644.562,1647.686,0,PE
37,1654.79,1654.79,1657.35,0,PE
38,1671.383,1671.383,1674.499,0,PEC
39,1681.085,1681.085,1684.077,0,PE
40,1690.636,1690.636,1692.691,0,PE
41,1698.247,1698.247,1702.303,0,PE
42,1714.324,1714.324,1718.341,0,PE
43,1726.811,1726.811,1731.31,0,PE
44,1733.043,1733.043,1736.352,0,PE
45,1748.158,1748.158,1752.066,0,PE
46,1756.506,1756.506,1760.501,0,PE
47,1758.654,1760.501,1763.569,1.847,PE
48,1763.223,1763.569,1766.524,0.345,PE
49,1773.199,1773.199,1777.268,0,PEC
50,1774.933,1777.268,1779.347,2.335,PE
51,7237.76,7237.76,7242.58,0,PEG
52,7239.019,7242.58,7246.46,3.561,PE
53,7248.663,7248.663,7251.068,0,PEG
54,7269.404,7269.404,7274.22,0,PEGC
55,7279.874,7279.874,7283.278,0,PEG
56,7295.362,7295.362,7300.162,0,PEG
57,7322.318,7322.318,7327.238,0,PEG
58,7380.73,7380.73,7383.583,0,PEG
59,7391.844,7391.844,7395.46,0,PE
60,7398.935,7398.935,7400.973,0,PE
61,7399.282,7400.973,7403.444,1.69,PEC
62,7414.955,7414.955,7418.01,0,PEG
63,7425.339,7425.339,7429.658,0,PE
64,7431.388,7431.388,7434.349,0,PE
65,7432.004,7434.349,7438.009,2.344,PE
66,7439.405,7439.405,7442.546,0,PEG
67,7447.921,7447.921,7452.172,0,PEC
68,7459.392,7459.392,7464.347,0,PE
69,7460.409,7464.347,7467.688,3.938,PEG
70,7480.335,7480.335,7482.559,0,PE
71,7485.987,7485.987,7488.288,0,PE
72,7501.465,7501.465,7504.474,0,PEGC
73,7503.937,7504.474,7507.35,0.536,PEGC
74,7515.119,7515.119,7519.87,0,PEGC
75,7530.635,7530.635,7534.149,0,PEC
76,7536.731,7536.731,7540.469,0,PE
77,7563.207,7563.207,7565.362,0,PEC
78,7573.406,7573.406,7576.206,0,PEC
79,7582.232,7582.232,7586.581,0,PEG
80,7588.571,7588.571,7592.185,0,PE
81,7599.28,7599.28,7604.099,0,PE
82,7600.309,7604.099,7607.712,3.79,PE
83,7613.84,7613.84,7617.079,0,PEG
84,7623.479,7623.479,7628.371,0,PE
85,7623.605,7628.371,7632.168,4.766,PEC
86,7625.168,7632.168,7636.992,7,PEGC
87,7630.15,7636.992,7641.275,6.842,PEC
88,7639.83,7641.275,7643.608,1.446,PE
89,7655.234,7655.234,7658.09,0,PE
90,7663.895,7663.895,7666.532,0,PEGC
91,7664.1,7666.532,7669.777,2.432,PE
92,7668.805,7669.777,7673.282,0.971,PE
93,7707.789,7707.789,7712.312,0,PE
94,7717.162,7717.162,7721.5,0,PEC
95,7733.37,7733.37,7737.121,0,PEC
96,7749.124,7749.124,7752.681,0,PEC
97,7762.641,7762.641,7765.538,0,PEG
98,7776.261,7776.261,7780.332,0,PE
99,7796.717,7796.717,7800.601,0,PEC
100,7797.881,7800.601,7804.93,2.72,PE
