student_id,path,checkin_end,P_start,P_end,E_start,E_end,G_start,G_end,C_start,C_end
1,PEC,NaN,7204.7064694943,7214.7064694943,7215.7064694943,7225.7064694943,NaN,NaN,7226.7064694943,7256.7064694943
2,PEG,NaN,7214.7064694943,7224.7064694943,7225.7064694943,7235.7064694943,7236.7064694943,7246.7064694943,NaN,NaN
3,PE,NaN,7224.7064694943,7234.7064694943,7235.7064694943,7245.7064694943,NaN,NaN,NaN,NaN
4,PEC,NaN,7234.7064694943,7244.7064694943,7245.7064694943,7255.7064694943,NaN,NaN,7256.7064694943,7286.7064694943
5,PE,NaN,7244.7064694943,7254.7064694943,7255.7064694943,7265.7064694943,NaN,NaN,NaN,NaN
6,PE,NaN,7254.7064694943,7264.7064694943,7265.7064694943,7275.7064694943,NaN,NaN,NaN,NaN
7,PE,NaN,7264.7064694943,7274.7064694943,7275.7064694943,7285.7064694943,NaN,NaN,NaN,NaN
8,PE,NaN,7274.7064694943,7284.7064694943,7285.7064694943,7295.7064694943,NaN,NaN,NaN,NaN
9,PEG,NaN,7284.7064694943,7294.7064694943,7295.7064694943,7305.7064694943,7306.7064694943,7316.7064694943,NaN,NaN
10,PEG,NaN,7294.7064694943,7304.7064694943,7305.7064694943,7315.7064694943,7316.7064694943,7326.7064694943,NaN,NaN
11,PE,NaN,7304.7064694943,7314.7064694943,7315.7064694943,7325.7064694943,NaN,NaN,NaN,NaN
12,PEGC,NaN,7314.7064694943,7324.7064694943,7325.7064694943,7335.7064694943,7336.7064694943,7346.7064694943,7347.7064694943,7377.7064694943
13,PEG,NaN,7324.7064694943,7334.7064694943,7335.7064694943,7345.7064694943,7346.7064694943,7356.7064694943,NaN,NaN
14,PEG,NaN,7334.7064694943,7344.7064694943,7345.7064694943,7355.7064694943,7356.7064694943,7366.7064694943,NaN,NaN
15,PE,NaN,7344.7064694943,7354.7064694943,7355.7064694943,7365.7064694943,NaN,NaN,NaN,NaN
16,PEC,NaN,7354.7064694943,7364.7064694943,7365.7064694943,7375.7064694943,NaN,NaN,7377.7064694943,7407.7064694943
17,PE,NaN,7364.7064694943,7374.7064694943,7375.7064694943,7385.7064694943,NaN,NaN,NaN,NaN
18,PE,NaN,7374.7064694943,7384.7064694943,7385.7064694943,7395.7064694943,NaN,NaN,NaN,NaN
19,PE,NaN,7384.7064694943,7394.7064694943,7395.7064694943,7405.7064694943,NaN,NaN,NaN,NaN
20,PE,NaN,7394.7064694943,7404.7064694943,7405.7064694943,7415.7064694943,NaN,NaN,NaN,NaN
21,PE,NaN,7404.7064694943,7414.7064694943,7415.7064694943,7425.7064694943,NaN,NaN,NaN,NaN
22,PEGC,NaN,7414.7064694943,7424.7064694943,7425.7064694943,7435.7064694943,7436.7064694943,7446.7064694943,7447.7064694943,7477.7064694943
23,PEG,NaN,7424.7064694943,7434.7064694943,7435.7064694943,7445.7064694943,7446.7064694943,7456.7064694943,NaN,NaN
24,PEC,NaN,7434.7064694943,7444.7064694943,7445.7064694943,7455.7064694943,NaN,NaN,7477.7064694943,7507.7064694943
25,PEG,NaN,7444.7064694943,7454.7064694943,7455.7064694943,7465.7064694943,7466.7064694943,7476.7064694943,NaN,NaN
26,PEG,NaN,7454.7064694943,7464.7064694943,7465.7064694943,7475.7064694943,7476.7064694943,7486.7064694943,NaN,NaN
27,PEG,NaN,7464.7064694943,7474.7064694943,7475.7064694943,7485.7064694943,7486.7064694943,7496.7064694943,NaN,NaN
28,PEG,NaN,7474.7064694943,7484.7064694943,7485.7064694943,7495.7064694943,7496.7064694943,7506.7064694943,NaN,NaN
29,PE,NaN,7484.7064694943,7494.7064694943,7495.7064694943,7505.7064694943,NaN,NaN,NaN,NaN
30,PE,NaN,7494.7064694943,7504.7064694943,7505.7064694943,7515.7064694943,NaN,NaN,NaN,NaN
31,PEG,NaN,7504.7064694943,7514.7064694943,7515.7064694943,7525.7064694943,7526.7064694943,7536.7064694943,NaN,NaN
32,PEGC,NaN,7514.7064694943,7524.7064694943,7525.7064694943,7535.7064694943,7536.7064694943,7546.7064694943,7547.7064694943,7577.7064694943
33,PEG,NaN,7524.7064694943,7534.7064694943,7535.7064694943,7545.7064694943,7546.7064694943,7556.7064694943,NaN,NaN
34,PEG,NaN,7534.7064694943,7544.7064694943,7545.7064694943,7555.7064694943,7556.7064694943,7566.7064694943,NaN,NaN
35,PEC,NaN,7544.7064694943,7554.7064694943,7555.7064694943,7565.7064694943,NaN,NaN,7577.7064694943,7607.7064694943
36,PEG,NaN,7554.7064694943,7564.7064694943,7565.7064694943,7575.7064694943,7576.7064694943,7586.7064694943,NaN,NaN
37,PEC,NaN,7564.7064694943,7574.7064694943,7575.7064694943,7585.7064694943,NaN,NaN,7607.7064694943,7637.7064694943
38,PE,NaN,7574.7064694943,7584.7064694943,7585.7064694943,7595.7064694943,NaN,NaN,NaN,NaN
39,PEG,NaN,7584.7064694943,7594.7064694943,7595.7064694943,7605.7064694943,7606.7064694943,7616.7064694943,NaN,NaN
40,PE,NaN,7594.7064694943,7604.7064694943,7605.7064694943,7615.7064694943,NaN,NaN,NaN,NaN
41,PE,NaN,7604.7064694943,7614.7064694943,7615.7064694943,7625.7064694943,NaN,NaN,NaN,NaN
42,PE,NaN,7614.7064694943,7624.7064694943,7625.7064694943,7635.7064694943,NaN,NaN,NaN,NaN
43,PE,NaN,7624.7064694943,7634.7064694943,7635.7064694943,7645.7064694943,NaN,NaN,NaN,NaN
44,PEG,NaN,7634.7064694943,7644.7064694943,7645.7064694943,7655.7064694943,7656.7064694943,7666.7064694943,NaN,NaN
45,PEG,NaN,7644.7064694943,7654.7064694943,7655.7064694943,7665.7064694943,7666.7064694943,7676.7064694943,NaN,NaN
46,PEC,NaN,7654.7064694943,7664.7064694943,7665.7064694943,7675.7064694943,NaN,NaN,7676.7064694943,7706.7064694943
47,PEGC,NaN,7664.7064694943,7674.7064694943,7675.7064694943,7685.7064694943,7686.7064694943,7696.7064694943,7706.7064694943,7736.7064694943
48,PE,NaN,7674.7064694943,7684.7064694943,7685.7064694943,7695.7064694943,NaN,NaN,NaN,NaN
49,PE,NaN,7684.7064694943,7694.7064694943,7695.7064694943,7705.7064694943,NaN,NaN,NaN,NaN
50,PE,NaN,7694.7064694943,7704.7064694943,7705.7064694943,7715.7064694943,NaN,NaN,NaN,NaN
51,PEG,NaN,7704.7064694943,7714.7064694943,7715.7064694943,7725.7064694943,7726.7064694943,7736.7064694943,NaN,NaN
52,PEG,NaN,7714.7064694943,7724.7064694943,7725.7064694943,7735.7064694943,7736.7064694943,7746.7064694943,NaN,NaN
53,PE,NaN,7724.7064694943,7734.7064694943,7735.7064694943,7745.7064694943,NaN,NaN,NaN,NaN
54,PEG,NaN,7734.7064694943,7744.7064694943,7745.7064694943,7755.7064694943,7756.7064694943,7766.7064694943,NaN,NaN
55,PEG,NaN,7744.7064694943,7754.7064694943,7755.7064694943,7765.7064694943,7766.7064694943,7776.7064694943,NaN,NaN
56,PEG,NaN,7754.7064694943,7764.7064694943,7765.7064694943,7775.7064694943,7776.7064694943,7786.7064694943,NaN,NaN
57,PE,NaN,7764.7064694943,7774.7064694943,7775.7064694943,7785.7064694943,NaN,NaN,NaN,NaN
58,PE,NaN,7774.7064694943,7784.7064694943,7785.7064694943,7795.7064694943,NaN,NaN,NaN,NaN
59,PEC,NaN,7784.7064694943,7794.7064694943,7795.7064694943,7805.7064694943,NaN,NaN,7806.7064694943,7836.7064694943
60,PEC,NaN,7794.7064694943,7804.7064694943,7805.7064694943,7815.7064694943,NaN,NaN,7836.7064694943,7866.7064694943
61,PE,NaN,7804.7064694943,7814.7064694943,7815.7064694943,7825.7064694943,NaN,NaN,NaN,NaN
62,PE,NaN,7814.7064694943,7824.7064694943,7825.7064694943,7835.7064694943,NaN,NaN,NaN,NaN
63,PEG,NaN,7824.7064694943,7834.7064694943,7835.7064694943,7845.7064694943,7846.7064694943,7856.7064694943,NaN,NaN
64,PEG,NaN,7834.7064694943,7844.7064694943,7845.7064694943,7855.7064694943,7856.7064694943,7866.7064694943,NaN,NaN
65,PEG,NaN,7844.7064694943,7854.7064694943,7855.7064694943,7865.7064694943,7866.7064694943,7876.7064694943,NaN,NaN
66,PE,NaN,7854.7064694943,7864.7064694943,7865.7064694943,7875.7064694943,NaN,NaN,NaN,NaN
67,PEC,NaN,7864.7064694943,7874.7064694943,7875.7064694943,7885.7064694943,NaN,NaN,7886.7064694943,7916.7064694943
68,PE,NaN,7874.7064694943,7884.7064694943,7885.7064694943,7895.7064694943,NaN,NaN,NaN,NaN
69,PEC,NaN,7884.7064694943,7894.7064694943,7895.7064694943,7905.7064694943,NaN,NaN,7916.7064694943,7946.7064694943
70,PE,NaN,7894.7064694943,7904.7064694943,7905.7064694943,7915.7064694943,NaN,NaN,NaN,NaN
71,PE,NaN,7904.7064694943,7914.7064694943,7915.7064694943,7925.7064694943,NaN,NaN,NaN,NaN
72,PE,NaN,7914.7064694943,7924.7064694943,7925.7064694943,7935.7064694943,NaN,NaN,NaN,NaN
73,PEG,NaN,7924.7064694943,7934.7064694943,7935.7064694943,7945.7064694943,7946.7064694943,7956.7064694943,NaN,NaN
74,PE,NaN,7934.7064694943,7944.7064694943,7945.7064694943,7955.7064694943,NaN,NaN,NaN,NaN
75,PEG,NaN,7944.7064694943,7954.7064694943,7955.7064694943,7965.7064694943,7966.7064694943,7976.7064694943,NaN,NaN
76,PE,NaN,7954.7064694943,7964.7064694943,7965.7064694943,7975.7064694943,NaN,NaN,NaN,NaN
77,PEC,NaN,7964.7064694943,7974.7064694943,7975.7064694943,7985.7064694943,NaN,NaN,7986.7064694943,8016.7064694943
78,PEC,NaN,7974.7064694943,7984.7064694943,7985.7064694943,7995.7064694943,NaN,NaN,8016.7064694943,8046.7064694943
79,PEG,NaN,7984.7064694943,7994.7064694943,7995.7064694943,8005.7064694943,8006.7064694943,8016.7064694943,NaN,NaN
80,PE,NaN,7994.7064694943,8004.7064694943,8005.7064694943,8015.7064694943,NaN,NaN,NaN,NaN
81,PEG,NaN,8004.7064694943,8014.7064694943,8015.7064694943,8025.7064694943,8026.7064694943,8036.7064694943,NaN,NaN
82,PE,NaN,8014.7064694943,8024.7064694943,8025.7064694943,8035.7064694943,NaN,NaN,NaN,NaN
83,PE,NaN,8024.7064694943,8034.7064694943,8035.7064694943,8045.7064694943,NaN,NaN,NaN,NaN
84,PE,NaN,8034.7064694943,8044.7064694943,8045.7064694943,8055.7064694943,NaN,NaN,NaN,NaN
85,PEGC,NaN,8044.7064694943,8054.7064694943,8055.7064694943,8065.7064694943,8066.7064694943,8076.7064694943,8077.7064694943,8107.7064694943
86,PEC,NaN,8054.7064694943,8064.7064694943,8065.7064694943,8075.7064694943,NaN,NaN,8107.7064694943,8137.7064694943
87,PEGC,NaN,8064.7064694943,8074.7064694943,8075.7064694943,8085.7064694943,8086.7064694943,8096.7064694943,8137.7064694943,8167.7064694943
88,PEG,NaN,8074.7064694943,8084.7064694943,8085.7064694943,8095.7064694943,8096.7064694943,8106.7064694943,NaN,NaN
89,PE,NaN,8084.7064694943,8094.7064694943,8095.7064694943,8105.7064694943,NaN,NaN,NaN,NaN
90,PEG,NaN,8094.7064694943,8104.7064694943,8105.7064694943,8115.7064694943,8116.7064694943,8126.7064694943,NaN,NaN
91,PEG,NaN,8104.7064694943,8114.7064694943,8115.7064694943,8125.7064694943,8126.7064694943,8136.7064694943,NaN,NaN
92,PEC,NaN,8114.7064694943,8124.7064694943,8125.7064694943,8135.7064694943,NaN,NaN,8167.7064694943,8197.7064694943
93,PE,NaN,8124.7064694943,8134.7064694943,8135.7064694943,8145.7064694943,NaN,NaN,NaN,NaN
94,PEC,NaN,8134.7064694943,8144.7064694943,8145.7064694943,8155.7064694943,NaN,NaN,8197.7064694943,8227.7064694943
95,PEG,NaN,8144.7064694943,8154.7064694943,8155.7064694943,8165.7064694943,8166.7064694943,8176.7064694943,NaN,NaN
96,PE,NaN,8154.7064694943,8164.7064694943,8165.7064694943,8175.7064694943,NaN,NaN,NaN,NaN
97,PE,NaN,8164.7064694943,8174.7064694943,8175.7064694943,8185.7064694943,NaN,NaN,NaN,NaN
98,PE,NaN,8174.7064694943,8184.7064694943,8185.7064694943,8195.7064694943,NaN,NaN,NaN,NaN
99,PEG,NaN,8184.7064694943,8194.7064694943,8195.7064694943,8205.7064694943,8206.7064694943,8216.7064694943,NaN,NaN
100,PEG,NaN,8194.7064694943,8204.7064694943,8205.7064694943,8215.7064694943,8216.7064694943,8226.7064694943,NaN,NaN
