student_id,path,checkin_end,P_start,P_end,E_start,E_end,G_start,G_end,C_start,C_end
1,PEG,NaN,1211.39117727514,1221.39117727514,1222.39117727514,1232.39117727514,1233.39117727514,1243.39117727514,NaN,NaN
2,PE,NaN,1221.39117727514,1231.39117727514,1232.39117727514,1242.39117727514,NaN,NaN,NaN,NaN
3,PE,NaN,1246.0985942974,1256.0985942974,1257.0985942974,1267.0985942974,NaN,NaN,NaN,NaN
4,PE,NaN,1256.0985942974,1266.0985942974,1267.0985942974,1277.0985942974,NaN,NaN,NaN,NaN
5,PEGC,NaN,1272.22076211377,1282.22076211377,1283.22076211377,1293.22076211377,1294.22076211377,1304.22076211377,1305.22076211377,1335.22076211377
6,PEG,NaN,1298.50835980542,1308.50835980542,1309.50835980542,1319.50835980542,1320.50835980542,1330.50835980542,NaN,NaN
7,PEC,NaN,1308.50835980542,1318.50835980542,1319.50835980542,1329.50835980542,NaN,NaN,1335.22076211377,1365.22076211377
8,PEC,NaN,1318.50835980542,1328.50835980542,1329.50835980542,1339.50835980542,NaN,NaN,1365.22076211377,1395.22076211377
9,PEC,NaN,1335.4608757993,1345.4608757993,1346.4608757993,1356.4608757993,NaN,NaN,1395.22076211377,1425.22076211377
10,PE,NaN,1345.4608757993,1355.4608757993,1356.4608757993,1366.4608757993,NaN,NaN,NaN,NaN
11,PEC,NaN,1355.4608757993,1365.4608757993,1366.4608757993,1376.4608757993,NaN,NaN,1425.22076211377,1455.22076211377
12,PE,NaN,1365.4608757993,1375.4608757993,1376.4608757993,1386.4608757993,NaN,NaN,NaN,NaN
13,PE,NaN,1375.4608757993,1385.4608757993,1386.4608757993,1396.4608757993,NaN,NaN,NaN,NaN
14,PE,NaN,1385.4608757993,1395.4608757993,1396.4608757993,1406.4608757993,NaN,NaN,NaN,NaN
15,PEG,NaN,1395.4608757993,1405.4608757993,1406.4608757993,1416.4608757993,1417.4608757993,1427.4608757993,NaN,NaN
16,PE,NaN,1405.4608757993,1415.4608757993,1416.4608757993,1426.4608757993,NaN,NaN,NaN,NaN
17,PE,NaN,1415.4608757993,1425.4608757993,1426.4608757993,1436.4608757993,NaN,NaN,NaN,NaN
18,PE,NaN,1425.4608757993,1435.4608757993,1436.4608757993,1446.4608757993,NaN,NaN,NaN,NaN
19,PE,NaN,1498.54122994837,1508.54122994837,1509.54122994837,1519.54122994837,NaN,NaN,NaN,NaN
20,PEG,NaN,1508.54122994837,1518.54122994837,1519.54122994837,1529.54122994837,1530.54122994837,1540.54122994837,NaN,NaN
21,PE,NaN,1518.54122994837,1528.54122994837,1529.54122994837,1539.54122994837,NaN,NaN,NaN,NaN
22,PEG,NaN,1528.54122994837,1538.54122994837,1539.54122994837,1549.54122994837,1550.54122994837,1560.54122994837,NaN,NaN
23,PE,NaN,1538.54122994837,1548.54122994837,1549.54122994837,1559.54122994837,NaN,NaN,NaN,NaN
24,PEGC,NaN,1548.54122994837,1558.54122994837,1559.54122994837,1569.54122994837,1570.54122994837,1580.54122994837,1581.54122994837,1611.54122994837
25,PE,NaN,1558.54122994837,1568.54122994837,1569.54122994837,1579.54122994837,NaN,NaN,NaN,NaN
26,PEGC,NaN,1568.54122994837,1578.54122994837,1579.54122994837,1589.54122994837,1590.54122994837,1600.54122994837,1611.54122994837,1641.54122994837
27,PE,NaN,1578.54122994837,1588.54122994837,1589.54122994837,1599.54122994837,NaN,NaN,NaN,NaN
28,PEG,NaN,1588.54122994837,1598.54122994837,1599.54122994837,1609.54122994837,1610.54122994837,1620.54122994837,NaN,NaN
29,PEGC,NaN,1598.54122994837,1608.54122994837,1609.54122994837,1619.54122994837,1620.54122994837,1630.54122994837,1641.54122994837,1671.54122994837
30,PEG,NaN,1608.54122994837,1618.54122994837,1619.54122994837,1629.54122994837,1630.54122994837,1640.54122994837,NaN,NaN
31,PE,NaN,1618.54122994837,1628.54122994837,1629.54122994837,1639.54122994837,NaN,NaN,NaN,NaN
32,PEG,NaN,1628.54122994837,1638.54122994837,1639.54122994837,1649.54122994837,1650.54122994837,1660.54122994837,NaN,NaN
33,PE,NaN,1638.54122994837,1648.54122994837,1649.54122994837,1659.54122994837,NaN,NaN,NaN,NaN
34,PEGC,NaN,1648.54122994837,1658.54122994837,1659.54122994837,1669.54122994837,1670.54122994837,1680.54122994837,1681.54122994837,1711.54122994837
35,PEC,NaN,1658.54122994837,1668.54122994837,1669.54122994837,1679.54122994837,NaN,NaN,1711.54122994837,1741.54122994837
36,PE,NaN,1668.54122994837,1678.54122994837,1679.54122994837,1689.54122994837,NaN,NaN,NaN,NaN
37,PEC,NaN,1678.54122994837,1688.54122994837,1689.54122994837,1699.54122994837,NaN,NaN,1741.54122994837,1771.54122994837
38,PEGC,NaN,1688.54122994837,1698.54122994837,1699.54122994837,1709.54122994837,1710.54122994837,1720.54122994837,1771.54122994837,1801.54122994837
39,PE,NaN,1698.54122994837,1708.54122994837,1709.54122994837,1719.54122994837,NaN,NaN,NaN,NaN
40,PEG,NaN,1708.54122994837,1718.54122994837,1719.54122994837,1729.54122994837,1730.54122994837,1740.54122994837,NaN,NaN
41,PE,NaN,1718.54122994837,1728.54122994837,1729.54122994837,1739.54122994837,NaN,NaN,NaN,NaN
42,PEC,NaN,1728.54122994837,1738.54122994837,1739.54122994837,1749.54122994837,NaN,NaN,1801.54122994837,1831.54122994837
