student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7201.89,7201.89,7203.904,0,PEC
2,7203.688,7203.904,7206.403,0.217,PEC
3,7205.146,7206.403,7209.501,1.257,PEG
4,7206.385,7209.501,7213.656,3.116,PEC
5,7206.4,7213.656,7216.134,7.255,PEC
6,7207.551,7216.134,7218.97,8.583,PE
7,7207.93,7218.97,7222.905,11.04,PEC
8,7208.106,7222.905,7225.767,14.799,PE
9,7209.98,7225.767,7228.732,15.787,PEGC
10,7210.209,7228.732,7231.199,18.523,PE
11,7211.097,7231.199,7234.362,20.102,PE
12,7211.299,7234.362,7239.049,23.063,PE
13,7212.944,7239.049,7243.712,26.105,PEC
14,7213.237,7243.712,7246.893,30.475,PE
15,7213.434,7246.893,7250.919,33.459,PE
16,7214.625,7250.919,7253.676,36.295,PEG
17,7216.287,7253.676,7258.526,37.389,PE
18,7216.296,7258.526,7262.4,42.23,PEG
19,7216.66,7262.4,7265.021,45.74,PEGC
20,7217.157,7265.021,7267.35,47.864,PEGC
21,7219.436,7267.35,7271.047,47.914,PEG
22,7219.985,7271.047,7273.87,51.062,PEG
23,7220.212,7273.87,7276.084,53.659,PEGC
24,7220.396,7276.084,7278.559,55.688,PEG
25,7220.964,7278.559,7280.708,57.595,PEC
26,7222.145,7280.708,7284.75,58.563,PE
27,7222.158,7284.75,7289.096,62.592,PE
28,7223.013,7289.096,7293.518,66.082,PE
29,7225.362,7293.518,7296.313,68.156,PEC
30,7227.272,7296.313,7301.001,69.04,PE
31,7227.335,7301.001,7304.825,73.665,PE
32,7228.618,7304.825,7306.868,76.207,PE
33,7229.521,7306.868,7309.9,77.347,PEC
34,7230.75,7309.9,7313.501,79.15,PE
35,7231.838,7313.501,7317.384,81.663,PEC
36,7233.404,7317.384,7320.724,83.98,PE
37,7234.039,7320.724,7325.158,86.685,PE
38,7235.854,7325.158,7327.592,89.303,PE
39,7237.244,7327.592,7332.517,90.349,PEG
40,7237.803,7332.517,7337.018,94.714,PE
41,7237.84,7337.018,7340.038,99.178,PE
42,7238.952,7340.038,7343.887,101.086,PE
43,7239.979,7343.887,7346.798,103.908,PEG
44,7240.266,7346.798,7349.066,106.532,PEG
45,7241.133,7349.066,7352.63,107.933,PEG
46,7244.214,7352.63,7357.106,108.416,PEGC
47,7246.283,7357.106,7361.398,110.824,PEG
48,7246.909,7361.398,7366.241,114.489,PEC
49,7248.036,7366.241,7369.242,118.205,PEC
50,7251.043,7369.242,7372.411,118.199,PE
51,7252.277,7372.411,7374.862,120.134,PEGC
52,7254.938,7374.862,7377.863,119.924,PE
53,7255.108,7377.863,7381.524,122.756,PE
54,7256.245,7381.524,7385.175,125.28,PE
55,7256.253,7385.175,7387.656,128.922,PEG
56,7257.282,7387.656,7390.008,130.375,PE
57,7258.174,7390.008,7393.203,131.833,PEC
58,7258.63,7393.203,7397.698,134.574,PE
59,7259.096,7397.698,7400.253,138.601,PE
60,7259.676,7400.253,7403.755,140.576,PEC
61,7261.767,7403.755,7406.134,141.988,PE
62,7262.41,7406.134,7410.728,143.724,PE
63,7262.695,7410.728,7415.028,148.032,PEGC
64,7262.741,7415.028,7418.721,152.287,PEGC
65,7263.859,7418.721,7421.889,154.862,PEC
66,7263.985,7421.889,7425.36,157.904,PEG
67,7264.001,7425.36,7430.021,161.359,PEGC
68,7267.156,7430.021,7434.736,162.864,PE
69,7267.429,7434.736,7438.231,167.307,PEG
70,7269.351,7438.231,7441.819,168.88,PE
71,7270.576,7441.819,7446.548,171.242,PEG
72,7271.838,7446.548,7450.283,174.71,PE
73,7271.925,7450.283,7454.611,178.358,PE
74,7272.521,7454.611,7458.595,182.09,PE
75,7273.915,7458.595,7462.004,184.68,PEG
76,7274.722,7462.004,7464.663,187.282,PEC
77,7275.222,7464.663,7468.471,189.441,PEC
78,7275.512,7468.471,7471.024,192.959,PEG
79,7276.134,7471.024,7473.616,194.89,PEG
80,7276.358,7473.616,7478.202,197.259,PEGC
81,7277.307,7478.202,7480.579,200.896,PEC
82,7277.332,7480.579,7484.516,203.247,PEC
83,7277.802,7484.516,7487.828,206.714,PEGC
84,7278.154,7487.828,7491.666,209.674,PE
85,7279.998,7491.666,7495.878,211.668,PEGC
86,7283.056,7495.878,7498.788,212.822,PEG
87,7283.436,7498.788,7500.917,215.352,PE
88,7285.656,7500.917,7505.423,215.261,PE
89,7288.512,7505.423,7508.531,216.912,PEGC
90,7288.802,7508.531,7512.515,219.729,PEG
91,7290.724,7512.515,7517.203,221.792,PEC
92,7293.148,7517.203,7520.025,224.055,PEG
93,7293.558,7520.025,7525.019,226.467,PEGC
94,7295.385,7525.019,7529.522,229.634,PEC
95,7295.77,7529.522,7533.896,233.752,PEC
96,7296.544,7533.896,7537.865,237.351,PE
97,7296.849,7537.865,7541.497,241.016,PE
98,7296.951,7541.497,7544.657,244.546,PE
99,7297.616,7544.657,7549.123,247.041,PEC
100,7299.859,7549.123,7552.909,249.264,PEGC
