student_id,path,checkin_end,P_start,P_end,E_start,E_end,G_start,G_end,C_start,C_end
1,PEG,NaN,7204.41085794506,7214.41085794506,7215.41085794506,7225.41085794506,7226.41085794506,7236.41085794506,NaN,NaN
2,PEG,NaN,7214.41085794506,7224.41085794506,7225.41085794506,7235.41085794506,7236.41085794506,7246.41085794506,NaN,NaN
3,PEG,NaN,7224.41085794506,7234.41085794506,7235.41085794506,7245.41085794506,7246.41085794506,7256.41085794506,NaN,NaN
4,PE,NaN,7234.41085794506,7244.41085794506,7245.41085794506,7255.41085794506,NaN,NaN,NaN,NaN
5,PE,NaN,7244.41085794506,7254.41085794506,7255.41085794506,7265.41085794506,NaN,NaN,NaN,NaN
6,PEC,NaN,7254.41085794506,7264.41085794506,7265.41085794506,7275.41085794506,NaN,NaN,7276.41085794506,7306.41085794506
7,PE,NaN,7264.41085794506,7274.41085794506,7275.41085794506,7285.41085794506,NaN,NaN,NaN,NaN
8,PEC,NaN,7274.41085794506,7284.41085794506,7285.41085794506,7295.41085794506,NaN,NaN,7306.41085794506,7336.41085794506
9,PEG,NaN,7284.41085794506,7294.41085794506,7295.41085794506,7305.41085794506,7306.41085794506,7316.41085794506,NaN,NaN
10,PEG,NaN,7294.41085794506,7304.41085794506,7305.41085794506,7315.41085794506,7316.41085794506,7326.41085794506,NaN,NaN
11,PE,NaN,7304.41085794506,7314.41085794506,7315.41085794506,7325.41085794506,NaN,NaN,NaN,NaN
12,PE,NaN,7314.41085794506,7324.41085794506,7325.41085794506,7335.41085794506,NaN,NaN,NaN,NaN
13,PEG,NaN,7324.41085794506,7334.41085794506,7335.41085794506,7345.41085794506,7346.41085794506,7356.41085794506,NaN,NaN
14,PE,NaN,7334.41085794506,7344.41085794506,7345.41085794506,7355.41085794506,NaN,NaN,NaN,NaN
15,PE,NaN,7344.41085794506,7354.41085794506,7355.41085794506,7365.41085794506,NaN,NaN,NaN,NaN
16,PE,NaN,7354.41085794506,7364.41085794506,7365.41085794506,7375.41085794506,NaN,NaN,NaN,NaN
17,PEG,NaN,7364.41085794506,7374.41085794506,7375.41085794506,7385.41085794506,7386.41085794506,7396.41085794506,NaN,NaN
18,PEG,NaN,7374.41085794506,7384.41085794506,7385.41085794506,7395.41085794506,7396.41085794506,7406.41085794506,NaN,NaN
19,PEC,NaN,7384.41085794506,7394.41085794506,7395.41085794506,7405.41085794506,NaN,NaN,7406.41085794506,7436.41085794506
20,PE,NaN,7394.41085794506,7404.41085794506,7405.41085794506,7415.41085794506,NaN,NaN,NaN,NaN
21,PE,NaN,7404.41085794506,7414.41085794506,7415.41085794506,7425.41085794506,NaN,NaN,NaN,NaN
22,PEG,NaN,7414.41085794506,7424.41085794506,7425.41085794506,7435.41085794506,7436.41085794506,7446.41085794506,NaN,NaN
23,PEC,NaN,7424.41085794506,7434.41085794506,7435.41085794506,7445.41085794506,NaN,NaN,7446.41085794506,7476.41085794506
24,PEG,NaN,7434.41085794506,7444.41085794506,7445.41085794506,7455.41085794506,7456.41085794506,7466.41085794506,NaN,NaN
25,PE,NaN,7444.41085794506,7454.41085794506,7455.41085794506,7465.41085794506,NaN,NaN,NaN,NaN
26,PEC,NaN,7454.41085794506,7464.41085794506,7465.41085794506,7475.41085794506,NaN,NaN,7476.41085794506,7506.41085794506
27,PE,NaN,7464.41085794506,7474.41085794506,7475.41085794506,7485.41085794506,NaN,NaN,NaN,NaN
28,PEG,NaN,7474.41085794506,7484.41085794506,7485.41085794506,7495.41085794506,7496.41085794506,7506.41085794506,NaN,NaN
29,PE,NaN,7484.41085794506,7494.41085794506,7495.41085794506,7505.41085794506,NaN,NaN,NaN,NaN
30,PEG,NaN,7494.41085794506,7504.41085794506,7505.41085794506,7515.41085794506,7516.41085794506,7526.41085794506,NaN,NaN
31,PEG,NaN,7504.41085794506,7514.41085794506,7515.41085794506,7525.41085794506,7526.41085794506,7536.41085794506,NaN,NaN
32,PEGC,NaN,7514.41085794506,7524.41085794506,7525.41085794506,7535.41085794506,7536.41085794506,7546.41085794506,7547.41085794506,7577.41085794506
33,PE,NaN,7524.41085794506,7534.41085794506,7535.41085794506,7545.41085794506,NaN,NaN,NaN,NaN
34,PEC,NaN,7534.41085794506,7544.41085794506,7545.41085794506,7555.41085794506,NaN,NaN,7577.41085794506,7607.41085794506
35,PEC,NaN,7544.41085794506,7554.41085794506,7555.41085794506,7565.41085794506,NaN,NaN,7607.41085794506,7637.41085794506
36,PE,NaN,7554.41085794506,7564.41085794506,7565.41085794506,7575.41085794506,NaN,NaN,NaN,NaN
37,PEGC,NaN,7564.41085794506,7574.41085794506,7575.41085794506,7585.41085794506,7586.41085794506,7596.41085794506,7637.41085794506,7667.41085794506
38,PE,NaN,7574.41085794506,7584.41085794506,7585.41085794506,7595.41085794506,NaN,NaN,NaN,NaN
39,PEG,NaN,7584.41085794506,7594.41085794506,7595.41085794506,7605.41085794506,7606.41085794506,7616.41085794506,NaN,NaN
40,PEG,NaN,7594.41085794506,7604.41085794506,7605.41085794506,7615.41085794506,7616.41085794506,7626.41085794506,NaN,NaN
41,PEC,NaN,7604.41085794506,7614.41085794506,7615.41085794506,7625.41085794506,NaN,NaN,7667.41085794506,7697.41085794506
42,PE,NaN,7614.41085794506,7624.41085794506,7625.41085794506,7635.41085794506,NaN,NaN,NaN,NaN
43,PEC,NaN,7624.41085794506,7634.41085794506,7635.41085794506,7645.41085794506,NaN,NaN,7697.41085794506,7727.41085794506
44,PEG,NaN,7634.41085794506,7644.41085794506,7645.41085794506,7655.41085794506,7656.41085794506,7666.41085794506,NaN,NaN
45,PE,NaN,7644.41085794506,7654.41085794506,7655.41085794506,7665.41085794506,NaN,NaN,NaN,NaN
46,PE,NaN,7654.41085794506,7664.41085794506,7665.41085794506,7675.41085794506,NaN,NaN,NaN,NaN
47,PEG,NaN,7664.41085794506,7674.41085794506,7675.41085794506,7685.41085794506,7686.41085794506,7696.41085794506,NaN,NaN
48,PE,NaN,7674.41085794506,7684.41085794506,7685.41085794506,7695.41085794506,NaN,NaN,NaN,NaN
