student_id,path,checkin_end,P_start,P_end,E_start,E_end,G_start,G_end,C_start,C_end
1,PE,NaN,1217.81418733632,1227.81418733632,1228.81418733632,1238.81418733632,NaN,NaN,NaN,NaN
2,PE,NaN,1227.81418733632,1237.81418733632,1238.81418733632,1248.81418733632,NaN,NaN,NaN,NaN
3,PE,NaN,1237.81418733632,1247.81418733632,1248.81418733632,1258.81418733632,NaN,NaN,NaN,NaN
4,PE,NaN,1247.81418733632,1257.81418733632,1258.81418733632,1268.81418733632,NaN,NaN,NaN,NaN
5,PE,NaN,1257.81418733632,1267.81418733632,1268.81418733632,1278.81418733632,NaN,NaN,NaN,NaN
6,PEG,NaN,1267.81418733632,1277.81418733632,1278.81418733632,1288.81418733632,1289.81418733632,1299.81418733632,NaN,NaN
7,PEG,NaN,1277.81418733632,1287.81418733632,1288.81418733632,1298.81418733632,1299.81418733632,1309.81418733632,NaN,NaN
8,PEGC,NaN,1287.81418733632,1297.81418733632,1298.81418733632,1308.81418733632,1309.81418733632,1319.81418733632,1320.81418733632,1350.81418733632
9,PEC,NaN,1309.14852161831,1319.14852161831,1320.14852161831,1330.14852161831,NaN,NaN,1350.81418733632,1380.81418733632
10,PEG,NaN,1319.14852161831,1329.14852161831,1330.14852161831,1340.14852161831,1341.14852161831,1351.14852161831,NaN,NaN
11,PEG,NaN,1335.23147642685,1345.23147642685,1346.23147642685,1356.23147642685,1357.23147642685,1367.23147642685,NaN,NaN
12,PEC,NaN,1345.25232221266,1355.25232221266,1356.25232221266,1366.25232221266,NaN,NaN,1380.81418733632,1410.81418733632
13,PEG,NaN,1364.07509193104,1374.07509193104,1375.07509193104,1385.07509193104,1386.07509193104,1396.07509193104,NaN,NaN
14,PE,NaN,1380.3799368986,1390.3799368986,1391.3799368986,1401.3799368986,NaN,NaN,NaN,NaN
15,PE,NaN,1390.3799368986,1400.3799368986,1401.3799368986,1411.3799368986,NaN,NaN,NaN,NaN
16,PE,NaN,1400.3799368986,1410.3799368986,1411.3799368986,1421.3799368986,NaN,NaN,NaN,NaN
17,PEGC,NaN,1410.3799368986,1420.3799368986,1421.3799368986,1431.3799368986,1432.3799368986,1442.3799368986,1443.3799368986,1473.3799368986
18,PE,NaN,1420.3799368986,1430.3799368986,1431.3799368986,1441.3799368986,NaN,NaN,NaN,NaN
19,PE,NaN,1430.3799368986,1440.3799368986,1441.3799368986,1451.3799368986,NaN,NaN,NaN,NaN
20,PEGC,NaN,1440.3799368986,1450.3799368986,1451.3799368986,1461.3799368986,1462.3799368986,1472.3799368986,1473.3799368986,1503.3799368986
21,PE,NaN,1450.3799368986,1460.3799368986,1461.3799368986,1471.3799368986,NaN,NaN,NaN,NaN
22,PEG,NaN,1460.3799368986,1470.3799368986,1471.3799368986,1481.3799368986,1482.3799368986,1492.3799368986,NaN,NaN
23,PE,NaN,1470.3799368986,1480.3799368986,1481.3799368986,1491.3799368986,NaN,NaN,NaN,NaN
24,PEC,NaN,1480.3799368986,1490.3799368986,1491.3799368986,1501.3799368986,NaN,NaN,1503.3799368986,1533.3799368986
25,PE,NaN,1490.3799368986,1500.3799368986,1501.3799368986,1511.3799368986,NaN,NaN,NaN,NaN
26,PEC,NaN,1500.3799368986,1510.3799368986,1511.3799368986,1521.3799368986,NaN,NaN,1533.3799368986,1563.3799368986
27,PE,NaN,1510.3799368986,1520.3799368986,1521.3799368986,1531.3799368986,NaN,NaN,NaN,NaN
28,PEG,NaN,1520.3799368986,1530.3799368986,1531.3799368986,1541.3799368986,1542.3799368986,1552.3799368986,NaN,NaN
29,PE,NaN,1530.3799368986,1540.3799368986,1541.3799368986,1551.3799368986,NaN,NaN,NaN,NaN
30,PEG,NaN,1540.3799368986,1550.3799368986,1551.3799368986,1561.3799368986,1562.3799368986,1572.3799368986,NaN,NaN
31,PEC,NaN,1550.3799368986,1560.3799368986,1561.3799368986,1571.3799368986,NaN,NaN,1572.3799368986,1602.3799368986
32,PE,NaN,1560.3799368986,1570.3799368986,1571.3799368986,1581.3799368986,NaN,NaN,NaN,NaN
33,PEC,NaN,1570.3799368986,1580.3799368986,1581.3799368986,1591.3799368986,NaN,NaN,1602.3799368986,1632.3799368986
34,PE,NaN,1580.3799368986,1590.3799368986,1591.3799368986,1601.3799368986,NaN,NaN,NaN,NaN
35,PE,NaN,1590.3799368986,1600.3799368986,1601.3799368986,1611.3799368986,NaN,NaN,NaN,NaN
36,PE,NaN,1600.3799368986,1610.3799368986,1611.3799368986,1621.3799368986,NaN,NaN,NaN,NaN
37,PE,NaN,1610.3799368986,1620.3799368986,1621.3799368986,1631.3799368986,NaN,NaN,NaN,NaN
38,PEG,NaN,1620.3799368986,1630.3799368986,1631.3799368986,1641.3799368986,1642.3799368986,1652.3799368986,NaN,NaN
39,PEGC,NaN,1630.3799368986,1640.3799368986,1641.3799368986,1651.3799368986,1652.3799368986,1662.3799368986,1663.3799368986,1693.3799368986
40,PEG,NaN,1640.3799368986,1650.3799368986,1651.3799368986,1661.3799368986,1662.3799368986,1672.3799368986,NaN,NaN
41,PE,NaN,1650.3799368986,1660.3799368986,1661.3799368986,1671.3799368986,NaN,NaN,NaN,NaN
42,PE,NaN,1663.66623445341,1673.66623445341,1674.66623445341,1684.66623445341,NaN,NaN,NaN,NaN
43,PEC,NaN,1673.66623445341,1683.66623445341,1684.66623445341,1694.66623445341,NaN,NaN,1695.66623445341,1725.66623445341
44,PE,NaN,1683.66623445341,1693.66623445341,1694.66623445341,1704.66623445341,NaN,NaN,NaN,NaN
45,PE,NaN,1702.47530502079,1712.47530502079,1713.47530502079,1723.47530502079,NaN,NaN,NaN,NaN
46,PEG,NaN,1721.87314095582,1731.87314095582,1732.87314095582,1742.87314095582,1743.87314095582,1753.87314095582,NaN,NaN
47,PEG,NaN,1731.87314095582,1741.87314095582,1742.87314095582,1752.87314095582,1753.87314095582,1763.87314095582,NaN,NaN
48,PEG,NaN,1756.19825389678,1766.19825389678,1767.19825389678,1777.19825389678,1778.19825389678,1788.19825389678,NaN,NaN
