student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7202.888,7202.888,7207.211,0,PEGC
2,7203.333,7207.211,7210.674,3.878,PEG
3,7204.751,7210.674,7212.957,5.922,PE
4,7205.124,7212.957,7215.262,7.833,PE
5,7205.174,7215.262,7219.389,10.088,PE
6,7205.364,7219.389,7221.679,14.024,PEG
7,7205.686,7221.679,7225.71,15.993,PE
8,7206.44,7225.71,7228.217,19.27,PE
9,7208.016,7228.217,7232.608,20.201,PE
10,7210.062,7232.608,7235.233,22.546,PE
11,7211.209,7235.233,7239.187,24.025,PE
12,7212.244,7239.187,7242.38,26.943,PEG
13,7212.744,7242.38,7245.816,29.636,PE
14,7212.999,7245.816,7249.443,32.818,PEC
15,7213.915,7249.443,7253.422,35.527,PEG
16,7214.785,7253.422,7256.006,38.637,PE
17,7215.824,7256.006,7258.938,40.182,PE
18,7215.981,7258.938,7261.562,42.957,PE
19,7220.335,7261.562,7263.702,41.227,PE
20,7222.643,7263.702,7268.101,41.059,PE
21,7223.025,7268.101,7272.57,45.076,PE
22,7223.032,7272.57,7276.799,49.538,PEC
23,7224.654,7276.799,7280.27,52.145,PEG
24,7224.751,7280.27,7283.981,55.519,PEG
25,7225.159,7283.981,7287.086,58.821,PE
26,7225.414,7287.086,7291.592,61.672,PE
27,7226.055,7291.592,7296.291,65.537,PE
28,7226.085,7296.291,7300.275,70.206,PEG
29,7226.174,7300.275,7304.612,74.101,PEG
30,7227.123,7304.612,7306.62,77.489,PEC
31,7228.979,7306.62,7311.231,77.641,PE
32,7229.453,7311.231,7313.436,81.778,PE
33,7231.544,7313.436,7317.156,81.892,PE
34,7233.189,7317.156,7320.932,83.967,PE
35,7236.436,7320.932,7325.393,84.496,PEG
36,7238.149,7325.393,7329.234,87.244,PEGC
37,7239.907,7329.234,7332.847,89.327,PE
38,7241.679,7332.847,7336.455,91.169,PE
39,7243.237,7336.455,7341.375,93.218,PEGC
40,7243.403,7341.375,7343.768,97.972,PEG
41,7243.573,7343.768,7347.477,100.195,PEGC
42,7243.602,7347.477,7350.765,103.875,PEG
43,7243.684,7350.765,7352.98,107.081,PEC
44,7246.452,7352.98,7355.854,106.528,PEC
45,7246.63,7355.854,7360.609,109.224,PEG
46,7247.266,7360.609,7362.916,113.343,PEG
47,7247.272,7362.916,7366.78,115.643,PE
48,7247.313,7366.78,7370.167,119.467,PE
49,7247.514,7370.167,7375.066,122.653,PEGC
50,7247.676,7375.066,7380.037,127.39,PEG
51,7250.753,7380.037,7384.53,129.284,PEGC
52,7252.191,7384.53,7388.025,132.339,PE
53,7252.302,7388.025,7392.571,135.722,PE
54,7252.362,7392.571,7397.21,140.21,PEC
55,7252.684,7397.21,7400.725,144.526,PE
56,7255.251,7400.725,7404.314,145.474,PEC
57,7255.433,7404.314,7406.807,148.881,PE
58,7256.748,7406.807,7410.762,150.06,PEC
59,7257.556,7410.762,7413.366,153.205,PE
60,7258.889,7413.366,7418.197,154.476,PEG
61,7259.143,7418.197,7423.175,159.054,PEG
62,7259.5,7423.175,7427.895,163.675,PE
63,7259.645,7427.895,7431.426,168.251,PEC
64,7259.921,7431.426,7434.452,171.505,PE
65,7260.353,7434.452,7438.96,174.099,PE
66,7264.633,7438.96,7441.209,174.326,PEC
67,7264.886,7441.209,7443.491,176.323,PE
68,7269.464,7443.491,7447.356,174.027,PE
69,7272.072,7447.356,7449.77,175.284,PE
70,7272.209,7449.77,7454.726,177.561,PEGC
71,7272.3,7454.726,7456.965,182.426,PEC
72,7274.553,7456.965,7460.688,182.412,PEC
73,7275.177,7460.688,7464.631,185.512,PEG
74,7278.328,7464.631,7468.084,186.302,PEG
75,7279.198,7468.084,7472.647,188.886,PEG
76,7280.874,7472.647,7475.806,191.773,PEG
77,7281.27,7475.806,7477.998,194.536,PEC
78,7281.772,7477.998,7480.558,196.225,PEG
79,7283.877,7480.558,7483.701,196.681,PE
80,7284.298,7483.701,7487.946,199.402,PEG
81,7287.011,7487.946,7490.579,200.935,PEG
82,7287.83,7490.579,7493.913,202.749,PE
83,7287.971,7493.913,7496.507,205.942,PEG
84,7288.654,7496.507,7499.376,207.852,PEG
85,7288.928,7499.376,7504.003,210.448,PEC
86,7289.428,7504.003,7507.776,214.575,PE
87,7289.876,7507.776,7510.416,217.9,PE
88,7290.073,7510.416,7513.868,220.343,PE
89,7290.144,7513.868,7517.991,223.725,PE
90,7290.304,7517.991,7520.81,227.687,PE
91,7290.895,7520.81,7525.086,229.915,PE
92,7290.915,7525.086,7528.707,234.171,PE
93,7292.439,7528.707,7531.073,236.267,PE
94,7292.762,7531.073,7533.466,238.311,PEG
95,7293.225,7533.466,7536.953,240.241,PEG
96,7293.768,7536.953,7539.026,243.185,PEGC
97,7295.302,7539.026,7541.695,243.724,PEG
98,7296.993,7541.695,7544.764,244.702,PE
99,7298.533,7544.764,7547.255,246.231,PEGC
100,7299.79,7547.255,7551.531,247.465,PEC
