student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,1210.254,1210.254,1215.008,0,PE
2,1228.635,1228.635,1231.699,0,PEG
3,1238.071,1238.071,1240.275,0,PE
4,1238.163,1240.275,1242.865,2.112,PEG
5,1247.648,1247.648,1251.159,0,PEG
6,1267.74,1267.74,1270.919,0,PEC
7,1272.295,1272.295,1277.011,0,PE
8,1282.939,1282.939,1285.669,0,PE
9,1296.602,1296.602,1299.3,0,PEC
10,1304.196,1304.196,1306.244,0,PEGC
11,1316.618,1316.618,1319.968,0,PE
12,1340.082,1340.082,1344.169,0,PEGC
13,1397.18,1397.18,1401.298,0,PE
14,1444.598,1444.598,1447.978,0,PE
15,1444.953,1447.978,1450.271,3.025,PEC
16,1463.283,1463.283,1467.231,0,PE
17,1464.621,1467.231,1471.113,2.609,PE
18,1468.898,1471.113,1473.56,2.216,PE
19,1470.131,1473.56,1476.166,3.429,PE
20,1472.45,1476.166,1480.154,3.717,PE
21,1479.267,1480.154,1483.143,0.888,PE
22,1487.879,1487.879,1490.721,0,PEC
23,1503.494,1503.494,1506.728,0,PEGC
24,1510.327,1510.327,1514.887,0,PEG
25,1522.489,1522.489,1525.402,0,PE
26,1528.262,1528.262,1532.541,0,PE
27,1557.273,1557.273,1560.915,0,PEC
28,1562.313,1562.313,1566.646,0,PE
29,1563.991,1566.646,1571.008,2.656,PEGC
30,1564.176,1571.008,1575.839,6.832,PE
31,1566.799,1575.839,1578.177,9.04,PE
32,1574.592,1578.177,1582.777,3.585,PE
33,1575.6,1582.777,1587.326,7.177,PEGC
34,1586.585,1587.326,1590.211,0.741,PEG
35,1591.073,1591.073,1593.774,0,PEG
36,1614.198,1614.198,1617.63,0,PE
37,1620.146,1620.146,1622.719,0,PEG
38,1623.535,1623.535,1628.277,0,PE
39,1626.328,1628.277,1631.224,1.948,PEG
40,1635.63,1635.63,1637.956,0,PE
41,1650.292,1650.292,1653.61,0,PEG
42,1650.461,1653.61,1657.223,3.149,PE
43,1715.03,1715.03,1717.177,0,PEG
44,1720.041,1720.041,1723.696,0,PEGC
45,1720.162,1723.696,1727.47,3.534,PEC
46,1727.858,1727.858,1730.684,0,PEG
47,1735.603,1735.603,1738.859,0,PE
48,1748.626,1748.626,1752.123,0,PEG
49,1779.151,1779.151,1782.991,0,PE
50,1798.265,1798.265,1802.78,0,PEG
51,7206.364,7206.364,7211.053,0,PEGC
52,7210.615,7211.053,7214.513,0.438,PEGC
53,7230.991,7230.991,7233.743,0,PE
54,7231.57,7233.743,7236.199,2.173,PEGC
55,7231.842,7236.199,7240.066,4.357,PEC
56,7244.312,7244.312,7248.888,0,PEG
57,7249.944,7249.944,7254.616,0,PEG
58,7286.576,7286.576,7289.047,0,PE
59,7290.809,7290.809,7294.599,0,PE
60,7317.951,7317.951,7322.455,0,PE
61,7318.509,7322.455,7326.885,3.946,PEC
62,7330.535,7330.535,7334.928,0,PE
63,7333.363,7334.928,7339.563,1.565,PE
64,7344.325,7344.325,7347.53,0,PEC
65,7368.397,7368.397,7372.91,0,PEC
66,7368.656,7372.91,7376.788,4.254,PE
67,7372.639,7376.788,7379.409,4.15,PEC
68,7380.574,7380.574,7383.703,0,PE
69,7406.597,7406.597,7410.723,0,PE
70,7414.907,7414.907,7416.993,0,PE
71,7477.536,7477.536,7480.385,0,PEGC
72,7493.026,7493.026,7496.893,0,PE
73,7504.707,7504.707,7507.017,0,PEG
74,7508.673,7508.673,7511.783,0,PE
75,7515.726,7515.726,7519.23,0,PE
76,7516.297,7519.23,7522.201,2.933,PE
77,7521.903,7522.201,7526.887,0.298,PE
78,7527.972,7527.972,7532.078,0,PEGC
79,7533.98,7533.98,7536.342,0,PE
80,7542.868,7542.868,7547.854,0,PE
81,7547.775,7547.854,7552.685,0.079,PE
82,7564.405,7564.405,7568.767,0,PEC
83,7573.027,7573.027,7576.892,0,PEC
84,7576.829,7576.892,7581.744,0.064,PE
85,7604.107,7604.107,7606.44,0,PE
86,7627.485,7627.485,7632.116,0,PE
87,7644.004,7644.004,7648.308,0,PE
88,7649.169,7649.169,7653.225,0,PEG
89,7665.597,7665.597,7669.755,0,PE
90,7681.275,7681.275,7685.093,0,PE
91,7691.24,7691.24,7693.647,0,PE
92,7710.782,7710.782,7714.485,0,PEG
93,7721.268,7721.268,7724.307,0,PE
94,7724.461,7724.461,7728.496,0,PE
95,7735.508,7735.508,7738.526,0,PEG
96,7735.702,7738.526,7741.511,2.824,PEC
97,7738.085,7741.511,7744.154,3.426,PEC
98,7784.142,7784.142,7787.258,0,PE
99,7793.602,7793.602,7796.925,0,PEG
100,7798.294,7798.294,7801.695,0,PEG
