student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7205.565,7205.565,7210.325,0,PE
2,7207.696,7210.325,7214.199,2.629,PE
3,7208.703,7214.199,7216.496,5.495,PE
4,7208.93,7216.496,7220.734,7.566,PEG
5,7209.712,7220.734,7223.01,11.022,PEG
6,7209.864,7223.01,7226.316,13.146,PE
7,7211.779,7226.316,7231.262,14.537,PEGC
8,7211.82,7231.262,7235.94,19.442,PE
9,7213.846,7235.94,7239.458,22.094,PEG
10,7215.069,7239.458,7243.336,24.389,PEC
11,7215.645,7243.336,7246.815,27.691,PE
12,7216.746,7246.815,7249.808,30.069,PEC
13,7216.955,7249.808,7251.815,32.852,PEG
14,7218.516,7251.815,7256.334,33.299,PEG
15,7219.823,7256.334,7259.751,36.511,PEG
16,7220.227,7259.751,7264.602,39.524,PE
17,7220.893,7264.602,7268.361,43.709,PE
18,7221.272,7268.361,7271.145,47.089,PEG
19,7222.455,7271.145,7273.349,48.691,PEGC
20,7222.501,7273.349,7275.591,50.848,PEG
21,7224.425,7275.591,7279.58,51.166,PEG
22,7225.605,7279.58,7283.913,53.976,PEC
23,7225.817,7283.913,7286.506,58.096,PE
24,7227.207,7286.506,7289.782,59.299,PE
25,7228.315,7289.782,7293.742,61.467,PEG
26,7228.625,7293.742,7298.59,65.116,PE
27,7230.741,7298.59,7302.735,67.849,PEC
28,7232.399,7302.735,7305.789,70.336,PEG
29,7232.42,7305.789,7309.049,73.369,PEG
30,7232.637,7309.049,7311.583,76.412,PE
31,7233.47,7311.583,7314.528,78.113,PE
32,7235.052,7314.528,7316.973,79.476,PE
33,7235.303,7316.973,7319.498,81.67,PE
34,7235.558,7319.498,7322.526,83.941,PEG
35,7235.821,7322.526,7326.708,86.705,PE
36,7236.408,7326.708,7329.644,90.301,PEG
37,7236.733,7329.644,7333.239,92.911,PE
38,7238.121,7333.239,7336.055,95.118,PE
39,7240.759,7336.055,7339.62,95.296,PE
40,7241.821,7339.62,7344.534,97.798,PEC
41,7246.025,7344.534,7346.717,98.509,PEG
42,7246.172,7346.717,7349.467,100.545,PEC
43,7247.879,7349.467,7352.117,101.588,PE
44,7248.043,7352.117,7354.954,104.074,PEG
45,7248.087,7354.954,7359.432,106.867,PEG
46,7248.318,7359.432,7362.439,111.114,PEC
47,7248.763,7362.439,7365.104,113.676,PEG
48,7249.262,7365.104,7367.602,115.842,PE
49,7249.581,7367.602,7370.537,118.021,PEG
50,7249.927,7370.537,7373.608,120.61,PE
51,7251.421,7373.608,7376.58,122.188,PEG
52,7251.513,7376.58,7379.414,125.067,PE
53,7254.392,7379.414,7382.301,125.022,PEC
54,7255.391,7382.301,7385.447,126.91,PE
55,7256.279,7385.447,7390.035,129.168,PEC
56,7260.33,7390.035,7394.148,129.705,PE
57,7263.022,7394.148,7398.383,131.125,PEC
58,7263.287,7398.383,7401.099,135.096,PEC
59,7263.434,7401.099,7403.478,137.665,PE
60,7265.581,7403.478,7406.39,137.897,PEGC
61,7266.248,7406.39,7410.892,140.142,PEGC
62,7266.558,7410.892,7414.304,144.334,PE
63,7266.795,7414.304,7416.916,147.509,PE
64,7268.573,7416.916,7420.599,148.343,PEG
65,7269.268,7420.599,7424.861,151.33,PEG
66,7270.28,7424.861,7429.017,154.581,PE
67,7270.66,7429.017,7433.203,158.358,PE
68,7270.702,7433.203,7437.46,162.501,PE
69,7271.036,7437.46,7440.807,166.423,PEC
70,7271.524,7440.807,7443.474,169.283,PEGC
71,7271.911,7443.474,7448.258,171.563,PE
72,7272.053,7448.258,7453.236,176.205,PE
73,7272.34,7453.236,7457.551,180.896,PE
74,7273.296,7457.551,7461.516,184.255,PEG
75,7273.657,7461.516,7465.732,187.859,PEG
76,7273.882,7465.732,7469.147,191.85,PEC
77,7274.253,7469.147,7472.725,194.894,PEC
78,7277.09,7472.725,7475.777,195.635,PE
79,7277.127,7475.777,7480.57,198.649,PEGC
80,7278.744,7480.57,7483.965,201.826,PE
81,7280.86,7483.965,7487.616,203.106,PE
82,7282.148,7487.616,7489.636,205.468,PE
83,7282.609,7489.636,7492.552,207.027,PEGC
84,7284.469,7492.552,7496.199,208.083,PEG
85,7284.487,7496.199,7498.994,211.712,PE
86,7286.091,7498.994,7502.86,212.903,PEG
87,7286.254,7502.86,7507.828,216.605,PE
88,7286.477,7507.828,7512.49,221.351,PEC
89,7286.567,7512.49,7517.113,225.923,PEC
90,7287.115,7517.113,7521.376,229.998,PEG
91,7287.617,7521.376,7525.455,233.76,PEC
92,7288.404,7525.455,7529.494,237.051,PEG
93,7289.674,7529.494,7533.055,239.82,PEC
94,7292.336,7533.055,7536.337,240.719,PEGC
95,7293.522,7536.337,7540.487,242.815,PEG
96,7293.873,7540.487,7543.507,246.615,PEC
97,7295.483,7543.507,7545.809,248.024,PE
98,7295.497,7545.809,7550.808,250.312,PEC
99,7298.617,7550.808,7554.928,252.19,PE
100,7298.796,7554.928,7558.485,256.132,PE
