student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7201.779,7201.779,7205.727,0,PEC
2,7205.423,7205.727,7210.647,0.305,PE
3,7205.773,7210.647,7215.239,4.874,PE
4,7208.032,7215.239,7218.659,7.207,PE
5,7208.406,7218.659,7223.379,10.253,PEC
6,7209.66,7223.379,7226.355,13.719,PE
7,7209.67,7226.355,7230.265,16.685,PE
8,7211.735,7230.265,7235.072,18.53,PE
9,7212.07,7235.072,7238.285,23.002,PEG
10,7213.692,7238.285,7242.942,24.593,PEGC
11,7214.923,7242.942,7246.793,28.018,PEC
12,7215.472,7246.793,7249.064,31.321,PE
13,7215.577,7249.064,7253.222,33.487,PE
14,7216.084,7253.222,7255.602,37.138,PE
15,7216.143,7255.602,7260.162,39.46,PEG
16,7217.808,7260.162,7262.315,42.354,PEGC
17,7217.905,7262.315,7265.4,44.41,PE
18,7218.42,7265.4,7270.02,46.98,PE
19,7218.573,7270.02,7273.566,51.447,PEGC
20,7219.882,7273.566,7277.327,53.684,PE
21,7220.336,7277.327,7281.429,56.991,PE
22,7223.463,7281.429,7286.018,57.966,PE
23,7223.633,7286.018,7288.648,62.385,PE
24,7224.627,7288.648,7291.803,64.021,PE
25,7226.115,7291.803,7296.205,65.689,PEC
26,7226.361,7296.205,7299.694,69.844,PE
27,7226.823,7299.694,7301.992,72.871,PEG
28,7227.257,7301.992,7305.178,74.735,PE
29,7227.34,7305.178,7309.871,77.838,PEG
30,7227.694,7309.871,7312.329,82.177,PE
31,7229.606,7312.329,7316.619,82.722,PE
32,7230.963,7316.619,7321.553,85.656,PE
33,7231.005,7321.553,7324.022,90.548,PEG
34,7234.295,7324.022,7328.738,89.727,PEG
35,7235.446,7328.738,7331.802,93.292,PEG
36,7236.276,7331.802,7335.876,95.526,PE
37,7236.472,7335.876,7338.094,99.404,PEC
38,7237.617,7338.094,7341.166,100.477,PEC
39,7238.586,7341.166,7345.741,102.579,PE
40,7239.873,7345.741,7349.09,105.868,PEG
41,7240.659,7349.09,7351.405,108.432,PEG
42,7242.723,7351.405,7354.954,108.682,PE
43,7242.968,7354.954,7358.218,111.986,PEC
44,7243.289,7358.218,7362.563,114.928,PEG
45,7243.41,7362.563,7367.309,119.153,PEGC
46,7244.273,7367.309,7371.341,123.036,PE
47,7245.146,7371.341,7375.116,126.196,PEG
48,7245.337,7375.116,7378.622,129.78,PE
49,7246.582,7378.622,7383.206,132.039,PE
50,7247.814,7383.206,7386.308,135.392,PE
51,7248.248,7386.308,7390.073,138.06,PE
52,7248.288,7390.073,7392.25,141.785,PE
53,7249.563,7392.25,7396.464,142.688,PEG
54,7249.923,7396.464,7399.65,146.542,PEG
55,7250.085,7399.65,7402.301,149.566,PE
56,7251.188,7402.301,7404.788,151.113,PE
57,7252.677,7404.788,7408.577,152.111,PEG
58,7254.697,7408.577,7410.99,153.88,PE
59,7256.018,7410.99,7413.019,154.972,PEC
60,7257.334,7413.019,7417.495,155.685,PEC
61,7258.476,7417.495,7420.055,159.019,PEG
62,7258.753,7420.055,7422.294,161.302,PEG
63,7260.682,7422.294,7424.566,161.612,PEC
64,7261.572,7424.566,7428.83,162.994,PE
65,7262.155,7428.83,7433.604,166.675,PE
66,7263.921,7433.604,7435.93,169.683,PEG
67,7266.27,7435.93,7439.816,169.66,PEG
68,7267.582,7439.816,7444.295,172.234,PEG
69,7267.682,7444.295,7446.561,176.613,PEG
70,7267.709,7446.561,7448.62,178.852,PEGC
71,7267.91,7448.62,7453.318,180.71,PE
72,7268.044,7453.318,7456.767,185.274,PE
73,7270.85,7456.767,7461.21,185.917,PEC
74,7271.038,7461.21,7465.992,190.172,PEG
75,7271.102,7465.992,7468.407,194.89,PE
76,7271.495,7468.407,7470.834,196.912,PE
77,7271.837,7470.834,7475.455,198.997,PEC
78,7271.931,7475.455,7478.385,203.524,PEC
79,7274.107,7478.385,7480.898,204.278,PEC
80,7274.723,7480.898,7485.421,206.175,PE
81,7275.762,7485.421,7488.822,209.659,PE
82,7277.108,7488.822,7492.429,211.715,PEG
83,7278.037,7492.429,7497.387,214.392,PEG
84,7278.049,7497.387,7499.722,219.338,PE
85,7278.519,7499.722,7503.633,221.203,PE
86,7278.956,7503.633,7506.027,224.677,PEC
87,7280.373,7506.027,7510.734,225.654,PEC
88,7280.545,7510.734,7515.492,230.189,PEG
89,7281.865,7515.492,7519.158,233.627,PE
90,7285.447,7519.158,7522.138,233.71,PE
91,7286.911,7522.138,7526.877,235.227,PE
92,7287.311,7526.877,7530.179,239.566,PEG
93,7287.485,7530.179,7534.529,242.695,PE
94,7287.627,7534.529,7537.225,246.903,PEG
95,7288.094,7537.225,7539.967,249.131,PE
96,7288.981,7539.967,7542.151,250.986,PEG
97,7290.139,7542.151,7545.755,252.012,PE
98,7294.891,7545.755,7549.216,250.864,PEC
99,7297.011,7549.216,7553.616,252.205,PE
100,7297.515,7553.616,7557.648,256.101,PE
