student_id,arrival_s,checkin_start_s,checkin_end_s,checkin_wait_s,path
1,7201.13,7201.13,7205.723,0,PE
2,7201.153,7205.723,7208.021,4.57,PE
3,7201.983,7208.021,7212.236,6.039,PE
4,7202.035,7212.236,7215.083,10.201,PEC
5,7205.272,7215.083,7217.444,9.811,PEGC
6,7205.305,7217.444,7221.946,12.138,PE
7,7205.422,7221.946,7226.239,16.524,PEG
8,7205.9,7226.239,7230.536,20.339,PEC
9,7206.685,7230.536,7232.82,23.851,PEC
10,7206.835,7232.82,7236.953,25.985,PE
11,7207.811,7236.953,7240.342,29.142,PE
12,7208.079,7240.342,7242.625,32.263,PE
13,7209.708,7242.625,7246.379,32.917,PE
14,7210.883,7246.379,7250.841,35.496,PE
15,7211.125,7250.841,7253.278,39.716,PEG
16,7212.238,7253.278,7257.878,41.04,PE
17,7213.129,7257.878,7262.787,44.749,PE
18,7213.21,7262.787,7265.074,49.578,PEGC
19,7214.447,7265.074,7268.238,50.627,PE
20,7214.725,7268.238,7272.546,53.513,PEG
21,7215.31,7272.546,7275.431,57.237,PEC
22,7216.376,7275.431,7280.059,59.055,PEG
23,7216.699,7280.059,7282.517,63.36,PEG
24,7217.165,7282.517,7287.369,65.352,PEC
25,7218.982,7287.369,7291.007,68.387,PE
26,7219.281,7291.007,7295.53,71.727,PEG
27,7219.477,7295.53,7300.022,76.054,PE
28,7219.753,7300.022,7303.196,80.269,PE
29,7221.322,7303.196,7305.985,81.874,PE
30,7222.086,7305.985,7310.306,83.899,PEG
31,7222.557,7310.306,7314.805,87.749,PEC
32,7223.716,7314.805,7317.613,91.09,PE
33,7227.58,7317.613,7321.855,90.033,PE
34,7229.01,7321.855,7325.704,92.845,PE
35,7229.302,7325.704,7328.923,96.402,PE
36,7229.892,7328.923,7332.889,99.032,PE
37,7230.486,7332.889,7336.26,102.402,PEG
38,7230.741,7336.26,7340.507,105.519,PE
39,7230.804,7340.507,7342.818,109.703,PE
40,7231.356,7342.818,7345.299,111.462,PEC
41,7232.834,7345.299,7348.967,112.465,PE
42,7235.951,7348.967,7352.212,113.016,PE
43,7237.906,7352.212,7355.208,114.307,PEGC
44,7238.881,7355.208,7357.852,116.327,PEG
45,7241.981,7357.852,7362.167,115.871,PE
46,7242.27,7362.167,7366.35,119.897,PE
47,7243.836,7366.35,7370.875,122.514,PEG
48,7247.5,7370.875,7373.332,123.375,PEC
49,7247.928,7373.332,7377.781,125.404,PEG
50,7248.682,7377.781,7380.061,129.099,PE
51,7249.987,7380.061,7383.644,130.075,PEG
52,7250.173,7383.644,7386.157,133.472,PE
53,7250.446,7386.157,7390.064,135.71,PEC
54,7252.803,7390.064,7392.504,137.261,PEC
55,7256.476,7392.504,7397.268,136.028,PEC
56,7256.557,7397.268,7401.54,140.711,PE
57,7256.636,7401.54,7406.327,144.904,PEG
58,7257.102,7406.327,7410.839,149.225,PEG
59,7257.903,7410.839,7412.878,152.936,PE
60,7258.154,7412.878,7415.847,154.724,PEGC
61,7258.311,7415.847,7418.72,157.536,PE
62,7259.356,7418.72,7421.065,159.364,PE
63,7260.536,7421.065,7425.616,160.529,PEC
64,7261.136,7425.616,7430.553,164.48,PE
65,7262.01,7430.553,7434.146,168.543,PE
66,7265.302,7434.146,7437.802,168.844,PEG
67,7266.48,7437.802,7441.411,171.322,PE
68,7267.578,7441.411,7444.39,173.834,PE
69,7269.233,7444.39,7448.046,175.157,PE
70,7269.326,7448.046,7450.584,178.72,PEGC
71,7271.116,7450.584,7454.185,179.467,PEG
72,7272.128,7454.185,7456.891,182.057,PEG
73,7273.162,7456.891,7460.245,183.729,PE
74,7276.326,7460.245,7462.976,183.919,PE
75,7278.078,7462.976,7467.542,184.898,PEGC
76,7280.337,7467.542,7469.695,187.206,PEC
77,7280.707,7469.695,7472.273,188.988,PE
78,7282.394,7472.273,7476.955,189.878,PEG
79,7282.417,7476.955,7481.284,194.538,PEG
80,7282.924,7481.284,7483.686,198.36,PE
81,7283.005,7483.686,7486.757,200.682,PE
82,7283.429,7486.757,7490.397,203.328,PE
83,7283.505,7490.397,7492.805,206.892,PE
84,7283.993,7492.805,7496.488,208.811,PE
85,7284.495,7496.488,7499.753,211.993,PE
86,7285.931,7499.753,7502.884,213.822,PE
87,7286.718,7502.884,7506.611,216.166,PEGC
88,7287.226,7506.611,7511.174,219.384,PE
89,7287.752,7511.174,7515.71,223.421,PE
90,7288.166,7515.71,7520.078,227.545,PEG
91,7288.625,7520.078,7522.528,231.452,PE
92,7289.554,7522.528,7526.377,232.974,PE
93,7290.572,7526.377,7528.905,235.805,PEGC
94,7290.91,7528.905,7532.295,237.994,PE
95,7294.973,7532.295,7534.427,237.322,PE
96,7296.277,7534.427,7538.959,238.15,PEG
97,7296.536,7538.959,7542.564,242.423,PE
98,7297.214,7542.564,7547.331,245.35,PEGC
99,7297.927,7547.331,7551.526,249.404,PEG
100,7299.177,7551.526,7554.706,252.349,PEC
